283.63,-288.66,579.26,604.81,0.26151,0.0012048,0.0015251,0.45749,2.8541,2.8763
349.04,-357.48,710.08,736.76,0.99385,0.066025,0.5,0.5,0.036276,7.235
393.91,-400.48,799.83,826.15,0.0021517,0.00085145,0.99063,0.98545,1.872,0.57049
270.48,-275.36,552.96,578.43,0.3511,0.002801,0.0034924,0.67576,3.5703,3.0757
271.26,-276.35,554.51,579.58,0.27232,0.0060595,0.0013269,0.059613,3.9196,3.6316
232.14,-237.6,476.28,502.05,0.56937,0.0010662,0.0009872,0.61157,6.4335,3.1044
197.08,-202.47,406.16,431.5,0.76357,0.012458,0.0041355,0.24683,7.5451,4.0749
235.17,-239.91,482.33,508.25,0.91641,0.24521,0.0058291,0.87137,5.0214,3.6105
351.31,-360.58,714.63,740.16,0.02203,6.4374e-05,0.00024783,0.00025701,0.10018,6.6309
255.98,-260.81,523.96,549.09,0.32126,0.02205,0.066765,0.37251,6.3832,1.8946
308.72,-314.75,629.44,654.55,0.21726,0.89469,0.67645,0.030372,3.5118,0.22041
422.35,-431.17,856.7,883.29,0.00017542,0.00012157,0.99833,0.99664,2.033,0.10698
249.34,-253.91,510.68,535.26,0.96646,0.24706,0.82052,0.035085,4.4856,2.3301
322.42,-327.67,656.84,681.93,0.39603,0.028373,0.0087413,0.8473,1.6633,0.88573
320.66,-329.55,653.33,679.97,0.18032,0.0012472,0.66213,0.015458,0.040875,8.2634
354.28,-362.83,720.56,747.17,0.075848,0.0001323,0.5,0.0045689,0.047845,4.9327
114.55,-121.14,241.1,264.07,0.011702,0.98824,0.000119,0.71908,9.1342,1.2403
317.25,-325.45,646.5,673.14,0.22198,0.0011159,0.50001,0.02747,0.05451,6.5867
346.23,-350.95,704.47,730.4,0.97755,0.27753,0.036301,0.67148,2.1965,1.3961
193.33,-198.69,398.67,422.1,0.074502,0.75281,0.0013239,0.95698,4.3538,6.8059
176.2,-181.99,364.41,389.56,0.58958,0.048339,0.0080492,0.18486,10.51,3.3026
237.14,-242.44,486.28,512.07,0.45794,0.0012706,0.001551,0.57888,5.8138,3.5882
364.42,-374.01,740.84,766.85,0.0078275,0.00035396,0.057899,0.0006205,0.058924,9.059
217.19,-222.18,446.38,471.72,0.98597,0.092989,0.015952,0.34054,6.1693,3.2154
126.47,-133.69,264.94,290.48,0.9596,0.012236,0.0017501,0.22696,14.159,4.1897
260.32,-265.66,532.64,559.27,0.98328,0.41775,0.029531,0.99475,1.611,6.2124
64.961,-73.78,141.92,164.51,0.0028242,0.0021066,9.7537e-05,0.00010159,14.893,3.0011
