subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus
voc017a,567.723147929808,569.558813473618,568.801423157943,570.601714523464,412.021697406808,413.946592811251,409.817149334762,411.973430745822
voc018a,583.738085089853,553.813787582166,528.334123067794,522.584212833165,446.662084795295,433.634002723234,433.266108774819,428.802115779509
voc019a,461.106809374502,462.439892035801,462.477002365895,463.815841458542,435.399387862685,436.166337241903,437.177433415857,437.742194638005
voc020a,425.261202243577,426.950027643897,413.644374459606,413.764242224004,378.356496830152,378.981268824313,366.25078495002,368.421643712778
voc021a,226.702921830323,228.369788111919,227.817393813274,230.574730321225,186.974566702934,189.932504643161,188.791519073934,192.091219343029
voc022a,519.417817562988,517.300028710521,512.980152134631,512.558023657717,396.311953065124,390.481325797618,397.983041503537,392.163963059739
voc023a,480.233773308813,482.124014339418,479.312586827325,481.12866624292,380.535163324599,382.374350833177,365.382868283126,365.93806323097
voc024a,786.15973546275,679.118512449647,787.958514897575,681.019941752997,256.953099249533,256.256439266726,258.924097610347,258.159918058858
voc025a,533.748765995782,531.68925391641,533.359966596565,526.442750116667,364.816330046573,367.521476773211,366.786573684654,369.516787750961
voc026a,454.550535205302,454.486132136821,451.61630103878,451.267702961991,428.113126462927,423.895721144011,424.443217795693,420.646735642303
voc027a,450.347135142784,449.171963278079,451.712999513641,439.663112301459,422.699462663384,422.759590152767,424.065328036974,401.057981559496
voc028a,688.419248725111,613.816519337273,675.674074130776,601.896902828306,496.658395290629,451.670811929567,497.532357099452,443.865506832609
voc029a,594.169167406287,585.324973884534,464.732811796133,466.613530202403,453.54619820401,432.845088902392,402.550843250207,375.990830310397
voc030a,433.942473866754,429.0458429252,350.711054531564,352.743613642604,413.14041748089,397.011717828763,347.107858758854,349.246863875981
voc032a,573.87446940814,575.391744045027,560.244804284636,562.225050613487,391.607066800647,393.693091527291,390.033905142908,390.351854587159
