subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus
voc034a,136.012624088996,138.011824995382,138.216000670454,140.212611287291,125.113304674389,127.112447862908,158.431365305186,129.335790884824
voc035a,376.197977409583,377.455794911716,311.535229933906,311.848611553635,194.055822941849,197.654079319856,161.591243306338,164.20824233929
voc036a,500.950143149021,494.704178527729,499.633067738259,486.525044933375,390.085056052069,390.863859332878,391.790502264825,392.073173067257
voc037a,786.125547233596,780.981910185543,782.577765013238,777.348499368664,630.572807071434,632.206499283598,632.027357699282,633.772947338649
voc039a,665.185267135353,643.482056320306,667.093909290445,642.899323860996,466.978275893037,470.634237437825,454.314255374051,456.799690049224
voc040a,597.899854077183,597.033949695668,599.620542236083,589.680198290635,464.003822210004,463.390054890683,455.405575919838,454.457117090099
voc041a,370.446700360598,355.858529215294,365.727133018081,335.959501792206,253.592932297513,256.593433141766,255.329354273151,258.750521418323
voc042a,632.417086274963,537.024429345533,629.965049541669,504.493831408351,438.994961087059,403.39908376551,434.297571299044,373.369979176032
voc043a,367.40558030922,369.206380442377,357.836571431955,356.837891397064,327.893877610131,317.094705154162,328.165751992048,311.146561136757
voc044a,575.288306077187,573.74789124799,556.635466697267,557.425431821127,476.866089563155,478.863336004551,474.211676173985,475.087091829129
voc045a,593.924308898855,568.167018489258,584.445534727944,558.862849097527,357.436588736706,359.514471555573,357.83666348735,359.584621902804
voc046a,525.958182337428,527.269796212767,523.82078473713,523.775892222896,409.344268325468,398.760698457485,410.29489245507,400.089049190439
voc047a,615.214304892548,560.758706639157,615.780507795118,557.668413699638,447.082381628993,449.428179909142,449.131664429264,451.584684804783
voc048a,670.938759482653,638.880518274857,647.483961608528,623.071690362796,412.318617415381,416.395855913873,401.231360002632,405.206526481213
voc049a,352.841697570183,354.903812756378,352.801726959771,354.895351940763,322.169999481953,324.088221817317,321.447935743933,323.65765176527
voc050a,678.704735590524,673.14627112909,676.878099232461,670.337820592229,544.323840415472,546.55130039063,544.260628894612,546.560867953949
voc051a,630.377856671558,591.529760614552,619.745575160628,585.953796453121,442.976799709067,446.43472219257,443.668562920489,447.175374853477
voc052a,549.326722798975,547.163328278258,546.246337007293,545.484973210675,434.137835527428,421.14590599267,424.527473275602,421.140340917058
voc053a,649.86301665547,640.272055328683,643.514232879809,640.027371593289,559.034118808234,552.493988642196,557.184864258374,552.814755197484
voc055a,491.215451704415,475.610630247059,481.47341956896,463.734670277441,485.44383569894,472.880309784532,473.974032114742,462.540806585178
voc056a,711.585774260347,706.654105462278,712.060942227853,704.746096912343,657.008061169314,657.865204155117,659.113994377537,658.341400200631
voc057a,707.786288675739,675.3771115524,709.960608521138,675.745795975588,571.242061679242,573.246442581691,573.436640327211,575.450257545652
voc058a,270.50495611213,271.916436749701,250.119974185714,252.59360803221,189.341133219205,189.418658741246,186.672933494274,187.595363666891
voc059a,865.267120725942,866.956687353839,867.217817334842,868.310241391587,512.418467965426,512.083612825036,514.543831439452,513.443034705071
voc060a,534.499210064978,534.474589484419,462.438612143727,451.428677533144,351.79876307228,346.059945909855,270.17408279349,264.436979994782
voc061a,514.008576194871,515.992802723276,479.631068417085,481.618958054749,409.969920816035,400.055153454255,387.014926631757,373.532444181618
voc062a,568.443352850414,565.749285262179,570.030579846084,566.334269649013,521.811850556973,523.627186934042,523.836039696085,525.641252897205
voc063a,573.580403617166,574.568466379417,564.490581667303,534.386387767034,382.545581820646,382.392116095296,354.309363265705,349.351867176967
voc064a,489.922521660784,481.00975329521,491.750852435256,482.519968281521,371.202572927244,367.733889318826,367.753137786042,365.879582959194
voc066a,449.703995287596,451.486454331102,435.989822539691,437.557678632947,400.685882067704,402.518239443348,394.492295642904,394.040355361625
voc067a,735.085557903529,648.131820115298,735.284131048922,649.241783481477,246.509213489826,243.087332022746,247.764102832461,244.201412688534
voc068t,664.739435083083,666.675672655955,660.879431617354,651.942210744703,581.076289227304,579.985410097134,570.04992987992,571.453645540723
voc069t,672.519734187272,671.474893286709,674.280727075131,672.359507161974,669.561122941531,671.737134145406,671.353861509769,673.539499944708
voc070c,542.387769387199,537.812253567844,543.670639041089,539.57414929662,407.278329904185,409.173713753402,408.075985163602,409.921917750101
voc071t,648.650675740547,620.031199029787,646.201908704309,611.715736128013,588.212422604585,544.183245409937,562.099957104682,530.536546628305
voc072c,450.912712784414,448.800057897174,422.451642259752,422.774903654632,297.094576086681,297.090236754144,278.559962691293,276.743405694379
voc073t,494.023228384457,495.214538805865,488.573688322334,490.184567541324,435.776316476045,434.753800550377,434.928522105257,435.336500653463
voc074c,570.878369269766,554.554704875366,544.160720405432,504.776369270094,343.737113793568,334.786858422998,289.844192166219,271.357100523536
voc075c,479.476243672391,481.315412554509,481.564263717725,483.411417354637,454.986176461461,457.042598710563,456.984471811405,458.967146281675
voc076t,546.67279754819,548.584618579347,548.671982419561,550.522555340732,545.236941938436,547.316412612289,547.112281556177,549.104380749819
voc077c,668.944855676285,670.800858255202,662.295442761553,660.168492384578,404.691131601788,408.622468098155,399.114394966209,403.152323495534
voc078c,477.061214755086,479.065997050718,474.417471885219,476.396909459686,468.623286511115,470.625647094636,467.308029200588,469.230805416717
voc079c,716.176331314724,713.279988863083,716.878464833365,713.77775305386,595.716556002336,580.536922845973,597.598132380843,582.151824661592
voc080t,636.34003744526,620.28147276016,587.844977788286,589.831050494842,431.952275916724,433.345154856079,422.325688852943,423.722110360946
voc083c,809.357812001835,803.764351697362,792.698712394054,797.974471018856,613.644351364678,615.185534678146,609.189044906547,611.23160056153
voc084c,550.666503276532,535.361556704412,552.642315933611,536.514801557497,515.201222907486,514.095518943799,517.1620152416,515.761568744631
voc085c,785.185954913907,774.272497384093,780.250624557209,774.984100463011,570.779982546642,572.748123352869,571.509184108026,573.476022991261
voc086t,608.206415731763,512.665193252643,582.973192502488,514.308106836472,157.616284005923,153.289002872645,159.505842242124,154.934446033595
voc087c,621.634711624803,603.379337430866,622.6878931488,545.555237489287,362.139356969295,361.536595972841,319.619722922121,308.499435302898
voc088t,578.393096236055,560.763528713378,579.732191462717,555.598546457955,463.050992430075,465.059545225466,465.214663901575,467.237425479685
voc089t,545.063090758218,545.809473641542,516.970263619159,515.08773321169,475.189228841332,467.546989985391,466.247167734391,462.661208073562
voc090t,534.23191808423,515.791253765484,506.469498591554,506.141111093653,499.112873818827,489.495082330875,492.978866670951,489.011660642201
voc091t,681.502039717161,683.28315075633,682.948637749765,683.272206523209,678.665246941489,680.807871627724,680.685718442446,680.771231104597
voc092c,558.216436203762,548.236106661066,556.724732797798,548.724403852665,532.390748908368,527.441589852564,533.897784911004,524.285770423261
voc093t,581.729540467723,555.940934399477,582.603030504376,548.856827494666,419.662491498428,422.619500541385,418.023130669912,420.58232798168
voc094t,363.671472475282,363.313475771719,349.818855531716,346.972639636232,311.85079463812,312.761188392353,304.002678261536,300.886693089455
voc095c,566.857361997706,565.1177092308,530.974008278085,531.135595907734,317.418411069649,320.438579991696,301.280644073329,305.170277019758
voc096c,547.458547373297,541.664929348737,547.180470066289,542.482825916488,429.932727092476,431.959217457915,429.600668646685,431.682413358535
voc097t,474.741610503666,476.741639138208,476.939364623579,478.939543051,468.336573607404,470.336524852813,470.5262764041,472.521175084014
voc098t,483.117401013894,484.438557658315,474.243288441849,471.334996420483,393.809010034173,381.991968767612,389.104453960123,372.244878732922
voc099t,631.757750048951,612.967940050252,622.638788950036,614.833049814648,515.09729176442,513.895935140254,517.098417574419,515.823674975181
voc100t,397.942835192954,382.872958679902,393.485766729327,373.16262652856,307.085996715668,308.21804390138,308.281775404443,309.618655050028
voc102t,675.58066869615,604.771244518513,575.9959360099,518.809279978683,342.16766448568,336.166848235862,244.760346195154,237.293890020283
voc103t,626.99121829677,598.503068039085,628.989583394159,588.160468092968,525.579627989685,525.458828319277,527.285467484747,526.981816695496
voc106t,531.499989084051,528.616463160678,499.470420951098,501.432130229873,412.256656172346,405.433275577691,391.017644833756,389.282890216399
voc107t,636.301474954293,582.478146950244,630.23494706504,564.04030127787,254.527242864228,252.385735014179,250.985365620619,237.899865344491
voc110t,311.510130502991,309.788246872441,313.512706226383,311.773030831295,307.762195901654,308.986175795145,309.777707527949,310.999561138151
voc111t,666.059933807207,666.186736302697,662.147962582557,663.342644812523,529.228551823328,530.280597066448,528.826941466362,529.666675583902
voc112c,493.828379538379,483.637904130903,473.802469792553,456.257591824016,440.757183197375,437.431342405482,439.921932186002,426.436083455483
voc113c,637.005694492891,639.477693470141,638.980683733221,640.926612700589,638.614124970713,640.957149219258,640.591652768912,642.973060536397
voc114t,625.358176055676,626.985872030583,592.473427532039,591.978223183988,407.200902559032,399.544665748828,394.154270153602,381.90531823362
voc115t,662.555718143262,618.227961346511,664.555848485087,615.821985683006,578.120268462319,580.284163292848,580.158716382635,582.357773057654
voc116t,375.786393695766,362.541228596128,371.095432016479,354.182548596978,376.431298814297,364.044363680722,372.857514233953,356.019613667957
voc117t,499.207004679223,497.845120348044,494.582687065975,473.352396730312,305.96685465556,305.383238061274,303.544376678906,303.677958001064
voc118c,560.97191166013,553.160759757277,557.133467547685,549.058608782758,515.521344570976,517.409200110292,513.291386296673,515.417953182123
voc119t,771.801269290135,755.674753468245,773.678461988447,757.715374898932,590.415560999424,589.318010732905,592.399095594895,591.32252411801
voc120t,660.380260810466,657.114179897685,660.708380414353,656.673368094396,643.013071147069,645.011557070074,663.48390039864,647.183846215591
