subject_id,stimulus,response,rt,red,blue,orange,green,pink,purple,true_prob,error
11671,static/img/machines/machine1.png,6,7872.299999952316,0.3,0.1,0.9,0.5,0.5,0.7,0.3,3
11671,static/img/machines/machine6.png,3,3281.7000000476837,0.3,0.1,0.9,0.5,0.5,0.7,0.5,2
11671,static/img/machines/machine5.png,7,3242.5,0.3,0.1,0.9,0.5,0.5,0.7,0.5,2
11671,static/img/machines/machine2.png,3,3542.2999999523163,0.3,0.1,0.9,0.5,0.5,0.7,0.7,4
11671,static/img/machines/machine3.png,2,2634.900000095367,0.3,0.1,0.9,0.5,0.5,0.7,0.1,1
11671,static/img/machines/machine4.png,7,2678.400000095367,0.3,0.1,0.9,0.5,0.5,0.7,0.9,2
11895,static/img/machines/machine2.png,7,2996.7999999523163,0.3,0.5,0.5,0.9,0.1,0.7,0.7,0
11895,static/img/machines/machine4.png,5,2200.199999988079,0.3,0.5,0.5,0.9,0.1,0.7,0.5,0
11895,static/img/machines/machine1.png,3,6334.899999976158,0.3,0.5,0.5,0.9,0.1,0.7,0.3,0
11895,static/img/machines/machine3.png,6,2017,0.3,0.5,0.5,0.9,0.1,0.7,0.5,1
11895,static/img/machines/machine6.png,4,2323.2999999523163,0.3,0.5,0.5,0.9,0.1,0.7,0.9,5
11895,static/img/machines/machine5.png,3,2353.7000000476837,0.3,0.5,0.5,0.9,0.1,0.7,0.1,2
12010,static/img/machines/machine2.png,4,7319.399999976158,0.5,0.9,0.1,0.7,0.3,0.5,0.5,1
12010,static/img/machines/machine6.png,4,12023.600000023842,0.5,0.9,0.1,0.7,0.3,0.5,0.7,3
12010,static/img/machines/machine4.png,5,5391.5,0.5,0.9,0.1,0.7,0.3,0.5,0.1,4
12010,static/img/machines/machine1.png,3,5615.5,0.5,0.9,0.1,0.7,0.3,0.5,0.5,2
12010,static/img/machines/machine3.png,4,12559.600000023842,0.5,0.9,0.1,0.7,0.3,0.5,0.9,5
12010,static/img/machines/machine5.png,7,8615.600000023842,0.5,0.9,0.1,0.7,0.3,0.5,0.3,4
11778,static/img/machines/machine5.png,9,4274,0.7,0.5,0.5,0.1,0.9,0.3,0.9,0
11778,static/img/machines/machine1.png,5,2371.1999999284744,0.7,0.5,0.5,0.1,0.9,0.3,0.7,2
11778,static/img/machines/machine3.png,6,3597.899999976158,0.7,0.5,0.5,0.1,0.9,0.3,0.5,1
11778,static/img/machines/machine6.png,3,5873.300000071526,0.7,0.5,0.5,0.1,0.9,0.3,0.1,2
11778,static/img/machines/machine4.png,4,5137.800000071526,0.7,0.5,0.5,0.1,0.9,0.3,0.5,1
