subject_id,browser_interactions,bad_data1,missed_choices,agency_trials,forgo_trials,total_stage_1,fast_choices,bad_data2,bad_data
12310,2,0,0,262,53,315,0,0,0
12315,2,0,0,254,61,315,0,0,0
12332,2,0,0,237,78,315,1,0,0
12339,2,0,1,295,19,314,2,0,0
12342,2,0,0,189,126,315,0,0,0
12349,2,0,0,311,4,315,0,0,0
12378,2,0,0,292,23,315,1,0,0
12383,2,0,0,108,207,315,0,0,0
12385,2,0,0,159,156,315,2,0,0
12402,2,0,0,247,68,315,0,0,0
12441,4,0,0,67,248,315,0,0,0
