"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc068t",127,"bandits7030","bandit70","bandit30",4,2,1,1.4918,"bandit30","bandit70",2,0.58184,1,10,0.73913,0.90114,0.73913,0.90114,-0.16201,-1,43,0
"voc068t",128,"bandits5050","bandit50a","bandit50b",5,2,1,1.7762,"bandit50b","bandit50a",2,0.8236,0,0,0.51852,0.99259,0.51852,0.99259,-0.47407,-1,43,0
"voc068t",129,"bandits9010","bandit90","bandit10",5,2,1,0.93608,"bandit90","bandit10",1,2.3922,1,10,0.91176,1.0184,0.91176,1.0184,-0.10662,-1,43,0
"voc068t",130,"bandits7030","bandit70","bandit30",0,2,1,3.2016,"bandit30","bandit70",2,4.3744,0,0,0.73913,0.51957,0.73913,0.51957,0.21957,1,44,1
"voc068t",131,"bandits5050","bandit50a","bandit50b",4,2,1,1.6305,"bandit50b","bandit50a",2,0.7388,1,10,0.5,0.88333,0.5,0.88333,-0.38333,-1,44,0
"voc068t",132,"bandits9010","bandit10","bandit90",1,2,1,0.83134,"bandit90","bandit10",2,0.00018124,1,10,0.91429,0.61964,0.91429,0.61964,0.29464,1,44,1
"voc068t",133,"bandits9010","bandit10","bandit90",3,2,1,0.9015,"bandit90","bandit10",2,0.72829,1,10,0.91667,0.82083,0.91667,0.82083,0.095833,1,45,1
"voc068t",134,"bandits7030","bandit70","bandit30",5,1,0,1.4189,"bandit70","bandit30",1,3.9476,1,15,0.73913,1.0124,1.0124,0.73913,0.27329,1,45,0
"voc068t",135,"bandits5050","bandit50b","bandit50a",1,2,1,2.3609,"bandit50b","bandit50a",1,0.85628,0,0,0.51724,0.59195,0.51724,0.59195,-0.074713,-1,45,0
"voc068t",136,"bandits9010","bandit10","bandit90",0,2,1,0.6875,"bandit90","bandit10",2,0.00017846,0,0,0.91892,0.52196,0.91892,0.52196,0.39696,1,46,1
"voc068t",137,"bandits5050","bandit50a","bandit50b",3,1,0,1.5012,"bandit50a","bandit50b",1,1.9611,1,13,0.5,0.78333,0.78333,0.5,0.28333,1,46,0
"voc068t",138,"bandits7030","bandit70","bandit30",1,2,1,6.4314,"bandit30","bandit70",2,1.1219,0,0,0.75,0.61786,0.75,0.61786,0.13214,1,46,1
"voc068t",139,"bandits7030","bandit30","bandit70",6,2,1,2.4135,"bandit70","bandit30",2,1.227,0,0,0.75,1.1114,0.75,1.1114,-0.36136,-1,47,0
"voc068t",140,"bandits9010","bandit10","bandit90",2,2,1,1.0903,"bandit90","bandit10",2,0.50901,1,10,0.89474,0.70987,0.89474,0.70987,0.18487,1,47,1
"voc068t",141,"bandits5050","bandit50a","bandit50b",0,2,1,1.6265,"bandit50b","bandit50a",2,0.8082,0,0,0.5,0.5,0.5,0.5,0,0,47,
"voc068t",142,"bandits7030","bandit70","bandit30",3,2,1,1.122,"bandit70","bandit30",1,0.59499,1,10,0.72,0.79636,0.72,0.79636,-0.076364,-1,48,0
"voc068t",143,"bandits5050","bandit50a","bandit50b",2,2,1,1.1092,"bandit50b","bandit50a",2,0.73594,1,10,0.5,0.69194,0.5,0.69194,-0.19194,-1,48,0
"voc068t",144,"bandits9010","bandit10","bandit90",4,2,1,2.7956,"bandit90","bandit10",2,0.64223,1,10,0.89744,0.91122,0.89744,0.91122,-0.013782,-1,48,0
"voc068t",145,"bandits9010","bandit10","bandit90",6,2,1,1.1458,"bandit90","bandit10",2,0.40168,1,10,0.9,1.1125,0.9,1.1125,-0.2125,-1,49,0
"voc068t",146,"bandits5050","bandit50b","bandit50a",6,1,0,1.5225,"bandit50a","bandit50b",2,5.2553,1,16,0.5,1.1,1.1,0.5,0.6,1,49,0
"voc068t",147,"bandits7030","bandit30","bandit70",2,2,1,1.6474,"bandit30","bandit70",1,1.5545,1,10,0.73077,0.70175,0.73077,0.70175,0.029021,1,49,1
"voc068t",148,"bandits5050","bandit50a","bandit50b",5,1,0,2.1819,"bandit50b","bandit50a",2,2.9574,1,15,0.52941,1.0147,1.0147,0.52941,0.48529,1,50,0
"voc068t",149,"bandits7030","bandit30","bandit70",0,2,1,1.2118,"bandit70","bandit30",2,0.61746,0,0,0.73077,0.51756,0.73077,0.51756,0.21321,1,50,1
"voc068t",150,"bandits9010","bandit10","bandit90",0,2,1,0.73012,"bandit90","bandit10",2,0.73199,1,10,0.90244,0.51372,0.90244,0.51372,0.38872,1,50,1
"voc068t",151,"bandits9010","bandit10","bandit90",1,2,1,0.72781,"bandit90","bandit10",2,0.36162,1,10,0.90476,0.61488,0.90476,0.61488,0.28988,1,51,1
"voc068t",152,"bandits7030","bandit30","bandit70",3,2,1,3.2292,"bandit70","bandit30",2,0.76845,1,10,0.7037,0.80403,0.7037,0.80403,-0.10032,-1,51,0
