"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc057a",305,"bandits5050","bandit50b","bandit50a",3,1,0,0.53093,"bandit50a","bandit50b",2,0.5181,1,13,0.50909,0.79368,0.79368,0.50909,0.28458,1,102,0
"voc057a",306,"bandits9010","bandit90","bandit10",3,1,0,0.7998,"bandit90","bandit10",1,0.48752,1,13,0.88462,0.79333,0.79333,0.88462,-0.091287,-1,102,1
"voc057a",307,"bandits5050","bandit50a","bandit50b",6,1,0,0.73869,"bandit50b","bandit50a",2,0.33345,0,6,0.50909,1.0992,1.0992,0.50909,0.59014,1,103,0
"voc057a",308,"bandits7030","bandit70","bandit30",3,2,1,1.6227,"bandit70","bandit30",1,0.58706,1,10,0.7,0.79423,0.7,0.79423,-0.094231,-1,103,0
"voc057a",309,"bandits9010","bandit90","bandit10",4,1,0,0.9409,"bandit10","bandit90",2,0.36007,0,4,0.88679,0.89442,0.89442,0.88679,0.0076242,1,103,0
"voc057a",310,"bandits5050","bandit50a","bandit50b",0,2,1,0.80649,"bandit50a","bandit50b",1,0.73338,1,10,0.5,0.49468,0.5,0.49468,0.0053191,1,104,1
"voc057a",311,"bandits9010","bandit10","bandit90",6,1,0,0.60791,"bandit10","bandit90",1,0.47329,0,6,0.88679,1.0934,1.0934,0.88679,0.2066,1,104,0
"voc057a",312,"bandits7030","bandit30","bandit70",6,1,0,0.52368,"bandit70","bandit30",2,0.33535,1,16,0.70588,1.0972,1.0972,0.70588,0.39129,1,104,0
"voc057a",313,"bandits9010","bandit90","bandit10",0,2,1,0.66435,"bandit90","bandit10",1,0.37265,1,10,0.88679,0.49242,0.88679,0.49242,0.39438,1,105,1
"voc057a",314,"bandits5050","bandit50a","bandit50b",1,2,1,0.66242,"bandit50b","bandit50a",2,0.29026,1,10,0.5,0.6,0.5,0.6,-0.1,-1,105,0
"voc057a",315,"bandits7030","bandit30","bandit70",0,2,1,0.61572,"bandit30","bandit70",1,0.32516,0,0,0.71154,0.5,0.71154,0.5,0.21154,1,105,1
