"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc075c",42,"bandits5050","bandit50a","bandit50b",3,1,0,0.00017741,"bandit50a","bandit50b",1,0.52378,1,13,0.5,0.76429,0.76429,0.5,0.26429,1,14,0
"voc075c",43,"bandits5050","bandit50b","bandit50a",2,1,0,0.17287,"bandit50b","bandit50a",1,0.55161,1,12,0.57143,0.7,0.7,0.57143,0.12857,1,15,0
"voc075c",44,"bandits9010","bandit90","bandit10",3,1,0,0.24795,"bandit10","bandit90",2,0.88597,0,3,1,0.8,0.8,1,-0.2,-1,15,1
"voc075c",45,"bandits7030","bandit70","bandit30",0,1,0,0.16859,"bandit70","bandit30",1,0.85977,1,10,0.625,0.5625,0.5625,0.625,-0.0625,-1,15,1
"voc075c",46,"bandits7030","bandit70","bandit30",6,1,0,0.1344,"bandit30","bandit70",2,0.39463,0,6,0.66667,1.1833,1.1833,0.66667,0.51667,1,16,0
"voc075c",47,"bandits9010","bandit90","bandit10",0,1,0,0.39268,"bandit10","bandit90",2,0.61008,0,0,1,0.5,0.5,1,-0.5,-1,16,1
"voc075c",48,"bandits5050","bandit50b","bandit50a",6,1,0,0.6154,"bandit50a","bandit50b",2,0.72043,0,6,0.57143,1.1357,1.1357,0.57143,0.56429,1,16,0
"voc075c",49,"bandits7030","bandit70","bandit30",4,1,0,0.92114,"bandit30","bandit70",2,0.69415,0,4,0.66667,0.94762,0.94762,0.66667,0.28095,1,17,0
"voc075c",50,"bandits5050","bandit50a","bandit50b",3,1,0,0.8064,"bandit50a","bandit50b",1,0.58385,0,3,0.5,0.8,0.8,0.5,0.3,1,17,0
"voc075c",51,"bandits9010","bandit90","bandit10",1,1,0,0.00018018,"bandit90","bandit10",1,0.69574,0,1,1,0.6,0.6,1,-0.4,-1,17,1
"voc075c",52,"bandits5050","bandit50a","bandit50b",4,1,0,1.0176,"bandit50b","bandit50a",2,0.93727,0,4,0.5,0.87222,0.87222,0.5,0.37222,1,18,0
"voc075c",53,"bandits9010","bandit90","bandit10",2,1,0,0.81093,"bandit10","bandit90",2,0.72238,1,12,0.88889,0.64444,0.64444,0.88889,-0.24444,-1,18,1
"voc075c",54,"bandits7030","bandit30","bandit70",1,1,0,0.98812,"bandit70","bandit30",2,0.70137,1,11,0.66667,0.62083,0.62083,0.66667,-0.045833,-1,18,1
"voc075c",55,"bandits9010","bandit90","bandit10",6,1,0,0.79878,"bandit90","bandit10",1,0.56019,1,16,0.88889,1.1,1.1,0.88889,0.21111,1,19,0
"voc075c",56,"bandits7030","bandit30","bandit70",3,1,0,0.00017788,"bandit70","bandit30",2,0.64088,1,13,0.7,0.8375,0.8375,0.7,0.1375,1,19,0
"voc075c",57,"bandits5050","bandit50a","bandit50b",5,2,1,0.12553,"bandit50a","bandit50b",1,1.6406,1,10,0.44444,0.94444,0.44444,0.94444,-0.5,-1,19,0
"voc075c",58,"bandits9010","bandit10","bandit90",5,1,0,0.44649,"bandit10","bandit90",1,0.57469,0,5,0.9,1.0056,1.0056,0.9,0.10556,1,20,0
"voc075c",59,"bandits7030","bandit30","bandit70",2,1,0,0.61999,"bandit30","bandit70",1,0.54083,0,2,0.72727,0.75114,0.75114,0.72727,0.023864,1,20,0
"voc075c",60,"bandits5050","bandit50a","bandit50b",0,1,0,0.00017861,"bandit50a","bandit50b",1,0.69392,0,0,0.5,0.47222,0.47222,0.5,-0.027778,-1,20,1
"voc075c",61,"bandits7030","bandit70","bandit30",5,1,0,0.8969,"bandit70","bandit30",1,1.0213,0,5,0.72727,1.0303,1.0303,0.72727,0.30303,1,21,0
