"subID","trial","bandit","response","trueProb","RT"
"voc076t",1,"bandit10",6,1,7.0216
"voc076t",2,"bandit50a",2,5,2.7643
"voc076t",3,"bandit30",4,3,2.4404
"voc076t",4,"bandit90",3,9,2.2079
"voc076t",5,"bandit70",8,7,2.1174
"voc076t",6,"bandit50b",7,5,2.0559
