"subID","trial","bandit","response","trueProb","RT"
"voc048a",1,"bandit30",4,3,8.7016
"voc048a",2,"bandit10",4,1,6.2641
"voc048a",3,"bandit70",8,7,2.24
"voc048a",4,"bandit50a",3,5,16.0176
"voc048a",5,"bandit90",8,9,2.1405
"voc048a",6,"bandit50b",8,5,3.0432
