"subID","trial","bandit","response","trueProb","RT"
"voc064a",1,"bandit90",9,9,2.8816
"voc064a",2,"bandit50a",5,5,1.8807
"voc064a",3,"bandit10",1,1,3.0265
"voc064a",4,"bandit30",2,3,3.7171
"voc064a",5,"bandit70",8,7,1.6676
"voc064a",6,"bandit50b",5,5,1.7894
