"subID","trial","bandit","response","trueProb","RT"
"voc112c",1,"bandit70",7,7,4.3101
"voc112c",2,"bandit50b",6,5,2.1383
"voc112c",3,"bandit90",6,9,1.3869
"voc112c",4,"bandit50a",3,5,1.7547
"voc112c",5,"bandit30",1,3,1.5798
"voc112c",6,"bandit10",3,1,1.5224
