"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc085c",197,"bandits9010","bandit10","bandit90",6,2,1,1.1306,"bandit90","bandit10",2,0.8585,1,10,0.88889,1.0944,0.88889,1.0944,-0.20556,0,-1,66
"voc085c",198,"bandits5050","bandit50a","bandit50b",0,2,1,0.63824,"bandit50b","bandit50a",2,0.46211,0,0,0.51282,0.48718,0.51282,0.48718,0.025641,1,1,66
"voc085c",199,"bandits7030","bandit70","bandit30",1,2,1,0.93367,"bandit70","bandit30",1,0.42426,0,0,0.72727,0.61515,0.72727,0.61515,0.11212,1,1,67
"voc085c",200,"bandits9010","bandit10","bandit90",3,2,1,0.53492,"bandit90","bandit10",2,0.50459,1,10,0.8913,0.79565,0.8913,0.79565,0.095652,1,1,67
"voc085c",201,"bandits5050","bandit50b","bandit50a",6,1,0,1.5552,"bandit50a","bandit50b",2,0.58627,1,16,0.5,1.0808,1.0808,0.5,0.58077,0,1,67
"voc085c",202,"bandits9010","bandit90","bandit10",5,2,1,1.4425,"bandit90","bandit10",1,0.43416,1,10,0.89362,0.99681,0.89362,0.99681,-0.10319,0,-1,68
"voc085c",203,"bandits7030","bandit70","bandit30",6,2,1,0.71806,"bandit30","bandit70",2,0.00018005,0,0,0.70588,1.1045,0.70588,1.1045,-0.39857,0,-1,68
"voc085c",204,"bandits5050","bandit50a","bandit50b",2,2,1,0.27338,"bandit50b","bandit50a",2,0.89164,1,10,0.5,0.69074,0.5,0.69074,-0.19074,0,-1,68
"voc085c",205,"bandits9010","bandit10","bandit90",0,2,1,0.3844,"bandit10","bandit90",1,0.54867,0,0,0.89583,0.49792,0.89583,0.49792,0.39792,1,1,69
"voc085c",206,"bandits7030","bandit30","bandit70",4,2,1,0.27789,"bandit70","bandit30",2,0.63213,0,0,0.70588,0.9,0.70588,0.9,-0.19412,0,-1,69
"voc085c",207,"bandits5050","bandit50b","bandit50a",1,2,1,0.89893,"bandit50b","bandit50a",1,1.6369,1,10,0.5122,0.59684,0.5122,0.59684,-0.084643,0,-1,69
"voc085c",208,"bandits7030","bandit30","bandit70",5,2,1,1.4366,"bandit30","bandit70",1,1.462,0,0,0.68571,0.98992,0.68571,0.98992,-0.3042,0,-1,70
