"subID","trial","leftBandit","rightBandit","selectedBandit","banditKeyResp","RT","accuracy"
"voc106t",1,"bandit70","bandit90","bandit90",2,1.8185,1
"voc106t",2,"bandit50a","bandit10","bandit50a",1,1.4908,1
"voc106t",3,"bandit50b","bandit70","bandit70",2,1.5677,1
"voc106t",4,"bandit50a","bandit90","bandit90",2,1.0574,1
"voc106t",5,"bandit90","bandit10","bandit90",1,0.78475,1
"voc106t",6,"bandit50a","bandit70","bandit70",2,0.75357,1
"voc106t",7,"bandit50b","bandit90","bandit90",2,0.95774,1
"voc106t",8,"bandit50a","bandit30","bandit50a",1,3.9191,1
"voc106t",9,"bandit50b","bandit10","bandit50b",1,1.394,1
"voc106t",10,"bandit70","bandit30","bandit70",1,1.8745,1
"voc106t",11,"bandit70","bandit10","bandit70",1,0.81692,1
"voc106t",12,"bandit50b","bandit30","bandit50b",1,1.2643,1
"voc106t",13,"bandit50a","bandit50b","bandit50b",2,3.2219,0
"voc106t",14,"bandit30","bandit90","bandit90",2,2.4528,1
"voc106t",15,"bandit30","bandit10","bandit30",1,1.0752,1
"voc106t",16,"bandit90","bandit30","bandit90",1,0.88822,1
"voc106t",17,"bandit50b","bandit50a","bandit50b",1,1.2867,0
"voc106t",18,"bandit70","bandit50b","bandit70",1,1.5391,1
"voc106t",19,"bandit10","bandit50b","bandit50b",2,1.5668,1
"voc106t",20,"bandit10","bandit70","bandit70",2,1.8723,1
"voc106t",21,"bandit90","bandit50a","bandit90",1,0.55758,1
"voc106t",22,"bandit30","bandit70","bandit70",2,0.56014,1
"voc106t",23,"bandit10","bandit30","bandit30",2,1.6826,1
"voc106t",24,"bandit90","bandit50b","bandit90",1,0.6967,1
"voc106t",25,"bandit10","bandit50a","bandit50a",2,0.98225,1
"voc106t",26,"bandit10","bandit90","bandit90",2,0.96692,1
"voc106t",27,"bandit30","bandit50b","bandit50b",2,1.9616,1
"voc106t",28,"bandit70","bandit50a","bandit70",1,1.5875,1
"voc106t",29,"bandit30","bandit50a","bandit50a",2,1.9563,1
"voc106t",30,"bandit90","bandit70","bandit90",1,0.72571,1
"voc106t",31,"bandit50a","bandit50b","bandit50b",2,1.1384,0
"voc106t",32,"bandit50a","bandit10","bandit50a",1,0.48645,1
"voc106t",33,"bandit50a","bandit70","bandit70",2,0.82766,1
