"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc097t",1,"bandits5050","bandit50b","bandit50a",0,1,0,3.145,"bandit50b","bandit50a",1,1.9909,1,10,0,0,0,0,0,0,1,
"voc097t",2,"bandits7030","bandit30","bandit70",4,2,1,1.9271,"bandit70","bandit30",2,1.2702,0,0,0,0.4,0,0.4,-0.4,-1,1,0
"voc097t",3,"bandits9010","bandit10","bandit90",3,1,0,1.0531,"bandit90","bandit10",2,1.4909,1,13,0,0.3,0.3,0,0.3,1,1,0
"voc097t",4,"bandits7030","bandit70","bandit30",5,2,1,2.2287,"bandit30","bandit70",2,0.00017882,1,10,0,0.5,0,0.5,-0.5,-1,2,0
"voc097t",5,"bandits9010","bandit90","bandit10",2,2,1,0.018472,"bandit90","bandit10",1,2.0971,1,10,1,0.7,1,0.7,0.3,1,2,1
"voc097t",6,"bandits5050","bandit50a","bandit50b",1,1,0,1.3172,"bandit50a","bandit50b",1,0.81678,0,1,1,0.6,0.6,1,-0.4,-1,2,1
"voc097t",7,"bandits5050","bandit50b","bandit50a",6,2,1,0.47091,"bandit50a","bandit50b",2,1.4419,0,0,1,1.1,1,1.1,-0.1,-1,3,0
"voc097t",8,"bandits9010","bandit90","bandit10",4,1,0,0.80965,"bandit90","bandit10",1,0.66591,1,14,1,0.9,0.9,1,-0.1,-1,3,1
"voc097t",9,"bandits7030","bandit30","bandit70",2,2,1,1.8459,"bandit70","bandit30",2,0.76939,0,0,1,0.7,1,0.7,0.3,1,3,1
"voc097t",10,"bandits7030","bandit70","bandit30",6,1,0,0.69979,"bandit70","bandit30",1,0.75962,0,6,1,1.1,1.1,1,0.1,1,4,0
"voc097t",11,"bandits9010","bandit10","bandit90",1,2,1,1.1364,"bandit90","bandit10",2,0.00018097,1,10,1,0.6,1,0.6,0.4,1,4,1
"voc097t",12,"bandits5050","bandit50b","bandit50a",5,1,0,1.1238,"bandit50a","bandit50b",2,1.8625,1,15,1,1,1,1,0,0,4,
"voc097t",13,"bandits5050","bandit50a","bandit50b",3,2,1,1.281,"bandit50b","bandit50a",2,1.3238,1,10,1,0.96667,1,0.96667,0.033333,1,5,1
"voc097t",14,"bandits7030","bandit70","bandit30",3,1,0,0.83941,"bandit30","bandit70",2,1.9433,0,3,1,0.8,0.8,1,-0.2,-1,5,1
"voc097t",15,"bandits9010","bandit90","bandit10",5,2,1,0.84692,"bandit90","bandit10",1,0.97,1,10,1,1,1,1,0,0,5,
"voc097t",16,"bandits5050","bandit50a","bandit50b",4,2,1,0.66052,"bandit50b","bandit50a",2,0.0001785,0,0,1,1.0667,1,1.0667,-0.066667,-1,6,0
