"subID","trial","leftBandit","rightBandit","selectedBandit","banditKeyResp","RT","accuracy"
"voc022a",1,"bandit90","bandit10","bandit90",1,2.003,1
"voc022a",2,"bandit30","bandit90","bandit90",2,1.6598,1
"voc022a",3,"bandit50a","bandit90","bandit90",2,1.2973,1
"voc022a",4,"bandit70","bandit90","bandit90",2,1.4299,1
"voc022a",5,"bandit50a","bandit30","bandit30",2,2.4688,-1
"voc022a",6,"bandit50a","bandit70","bandit70",2,3.6097,1
"voc022a",7,"bandit50b","bandit30","bandit50b",1,1.7999,1
"voc022a",8,"bandit50a","bandit50b","bandit50b",2,1.8012,0
"voc022a",9,"bandit50b","bandit90","bandit90",2,1.0339,1
"voc022a",10,"bandit70","bandit30","bandit30",2,2.609,-1
"voc022a",11,"bandit50b","bandit10","bandit50b",1,2.7839,1
"voc022a",12,"bandit50b","bandit70","bandit50b",1,2.199,-1
"voc022a",13,"bandit30","bandit10","bandit30",1,1.7679,1
"voc022a",14,"bandit50a","bandit10","bandit50a",1,3.9134,1
"voc022a",15,"bandit70","bandit10","bandit70",1,2.3163,1
"voc022a",16,"bandit10","bandit50a","bandit50a",2,1.4556,1
"voc022a",17,"bandit90","bandit70","bandit90",1,0.98121,1
"voc022a",18,"bandit30","bandit50b","bandit50b",2,3.0149,1
"voc022a",19,"bandit10","bandit30","bandit30",2,1.4295,1
"voc022a",20,"bandit10","bandit90","bandit90",2,0.75817,1
"voc022a",21,"bandit70","bandit50b","bandit70",1,4.4247,1
"voc022a",22,"bandit10","bandit50b","bandit50b",2,1.9662,1
"voc022a",23,"bandit70","bandit50a","bandit70",1,3.0155,1
"voc022a",24,"bandit50b","bandit50a","bandit50b",1,3.4772,0
"voc022a",25,"bandit90","bandit50a","bandit90",1,0.78615,1
"voc022a",26,"bandit90","bandit30","bandit90",1,0.78879,1
"voc022a",27,"bandit10","bandit70","bandit70",2,1.1573,1
"voc022a",28,"bandit30","bandit70","bandit30",1,1.2318,-1
"voc022a",29,"bandit90","bandit50b","bandit90",1,0.79111,1
"voc022a",30,"bandit30","bandit50a","bandit30",1,3.1208,-1
"voc022a",31,"bandit50a","bandit10","bandit50a",1,1.1639,1
"voc022a",32,"bandit50a","bandit50b","bandit50a",1,2.2452,0
"voc022a",33,"bandit70","bandit90","bandit90",2,1.6123,1
"voc022a",34,"bandit70","bandit10","bandit70",1,1.1484,1
"voc022a",35,"bandit50b","bandit90","bandit90",2,0.96608,1
"voc022a",36,"bandit50b","bandit30","bandit30",2,2.0814,-1
"voc022a",37,"bandit90","bandit10","bandit90",1,0.90967,1
"voc022a",38,"bandit50a","bandit70","bandit70",2,1.5624,1
"voc022a",39,"bandit50a","bandit30","bandit30",2,4.8763,-1
"voc022a",40,"bandit50b","bandit10","bandit50b",1,1.4005,1
"voc022a",41,"bandit30","bandit10","bandit30",1,1.5128,1
"voc022a",42,"bandit70","bandit30","bandit30",2,2.9892,-1
"voc022a",43,"bandit50b","bandit70","bandit70",2,2.3329,1
"voc022a",44,"bandit50a","bandit90","bandit90",2,0.67106,1
"voc022a",45,"bandit30","bandit90","bandit90",2,0.78203,1
"voc022a",46,"bandit10","bandit70","bandit70",2,1.2543,1
"voc022a",47,"bandit30","bandit70","bandit30",1,2.0781,-1
"voc022a",48,"bandit70","bandit50a","bandit70",1,2.0113,1
"voc022a",49,"bandit10","bandit90","bandit90",2,0.72297,1
"voc022a",50,"bandit90","bandit70","bandit90",1,0.9024,1
"voc022a",51,"bandit10","bandit30","bandit30",2,1.0519,1
"voc022a",52,"bandit30","bandit50a","bandit30",1,1.2751,-1
"voc022a",53,"bandit10","bandit50b","bandit50b",2,1.1611,1
"voc022a",54,"bandit70","bandit50b","bandit50b",2,1.1946,-1
"voc022a",55,"bandit90","bandit50b","bandit90",1,0.74826,1
"voc022a",56,"bandit30","bandit50b","bandit50b",2,0.9592,1
"voc022a",57,"bandit90","bandit30","bandit90",1,0.77043,1
"voc022a",58,"bandit50b","bandit50a","bandit50b",1,1.1403,0
"voc022a",59,"bandit90","bandit50a","bandit90",1,0.63152,1
"voc022a",60,"bandit10","bandit50a","bandit50a",2,0.88724,1
"voc022a",61,"bandit70","bandit90","bandit90",2,0.74896,1
"voc022a",62,"bandit50a","bandit50b","bandit50a",1,1.816,0
"voc022a",63,"bandit90","bandit10","bandit90",1,1.2311,1
"voc022a",64,"bandit30","bandit10","bandit30",1,1.2713,1
"voc022a",65,"bandit50a","bandit30","bandit30",2,0.87666,-1
"voc022a",66,"bandit50b","bandit70","bandit50b",1,2.9228,-1
"voc022a",67,"bandit70","bandit30","bandit30",2,1.1497,-1
"voc022a",68,"bandit50a","bandit70","bandit70",2,2.0794,1
"voc022a",69,"bandit50a","bandit90","bandit90",2,0.5562,1
"voc022a",70,"bandit50a","bandit10","bandit50a",1,0.93638,1
"voc022a",71,"bandit70","bandit10","bandit70",1,0.69112,1
"voc022a",72,"bandit50b","bandit10","bandit50b",1,1.0242,1
"voc022a",73,"bandit50b","bandit90","bandit90",2,0.69744,1
"voc022a",74,"bandit50b","bandit30","bandit50b",1,2.3903,1
"voc022a",75,"bandit30","bandit90","bandit90",2,0.87112,1
"voc022a",76,"bandit10","bandit70","bandit70",2,0.98098,1
"voc022a",77,"bandit30","bandit70","bandit70",2,3.1825,1
"voc022a",78,"bandit90","bandit30","bandit90",1,1.8942,1
"voc022a",79,"bandit30","bandit50a","bandit30",1,1.2512,-1
"voc022a",80,"bandit70","bandit50b","bandit50b",2,1.6654,-1
"voc022a",81,"bandit30","bandit50b","bandit30",1,0.84717,-1
"voc022a",82,"bandit50b","bandit50a","bandit50a",2,1.8219,0
"voc022a",83,"bandit90","bandit50b","bandit90",1,0.94957,1
"voc022a",84,"bandit10","bandit50a","bandit50a",2,1.0004,1
"voc022a",85,"bandit70","bandit50a","bandit70",1,1.9291,1
"voc022a",86,"bandit90","bandit50a","bandit90",1,0.76386,1
"voc022a",87,"bandit10","bandit30","bandit30",2,0.90218,1
"voc022a",88,"bandit10","bandit90","bandit90",2,0.71592,1
"voc022a",89,"bandit90","bandit70","bandit90",1,0.86295,1
"voc022a",90,"bandit10","bandit50b","bandit50b",2,1.7661,1
