"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc034a",1,"bandits5050","bandit50b","bandit50a",0,2,1,2.3134,"bandit50a","bandit50b",2,1.5457,0,0,0,0,0,0,0,0,1,
"voc034a",2,"bandits7030","bandit30","bandit70",1,1,0,1.2682,"bandit30","bandit70",1,0.62257,1,11,0,0.1,0.1,0,0.1,1,1,0
"voc034a",3,"bandits9010","bandit10","bandit90",6,1,0,1.5571,"bandit90","bandit10",2,0.61476,1,16,0,0.6,0.6,0,0.6,1,1,0
"voc034a",4,"bandits5050","bandit50a","bandit50b",6,1,0,0.74793,"bandit50a","bandit50b",1,0.55051,1,16,0,0.6,0.6,0,0.6,1,2,0
"voc034a",5,"bandits7030","bandit70","bandit30",3,1,0,0.69401,"bandit70","bandit30",1,0.70008,1,13,1,0.8,0.8,1,-0.2,-1,2,1
"voc034a",6,"bandits9010","bandit10","bandit90",5,1,0,0.66218,"bandit10","bandit90",1,0.99412,0,5,1,1,1,1,0,0,2,
"voc034a",7,"bandits7030","bandit70","bandit30",4,1,0,0.67418,"bandit70","bandit30",1,1.2478,1,14,1,1.4,1.4,1,0.4,1,3,0
"voc034a",8,"bandits9010","bandit10","bandit90",2,1,0,0.70714,"bandit10","bandit90",1,1.2635,0,2,1,0.7,0.7,1,-0.3,-1,3,1
"voc034a",9,"bandits5050","bandit50b","bandit50a",3,1,0,1.1784,"bandit50a","bandit50b",2,0.89189,0,3,0.5,0.55,0.55,0.5,0.05,1,3,0
"voc034a",10,"bandits5050","bandit50b","bandit50a",1,1,0,1.038,"bandit50b","bandit50a",1,1.4927,0,1,0.33333,0.26667,0.26667,0.33333,-0.066667,-1,4,1
"voc034a",11,"bandits7030","bandit30","bandit70",5,1,0,0.79022,"bandit30","bandit70",1,2.5037,0,5,1,1.5,1.5,1,0.5,1,4,0
"voc034a",12,"bandits9010","bandit10","bandit90",0,2,1,1.5115,"bandit90","bandit10",2,0.99325,1,10,1,0.5,1,0.5,0.5,1,4,1
"voc034a",13,"bandits9010","bandit10","bandit90",1,2,1,1.5868,"bandit10","bandit90",1,0.80986,0,0,1,0.6,1,0.6,0.4,1,5,1
"voc034a",14,"bandits7030","bandit70","bandit30",2,1,0,1.1456,"bandit70","bandit30",1,1.0778,1,12,1,0.95,0.95,1,-0.05,-1,5,1
"voc034a",15,"bandits5050","bandit50b","bandit50a",4,1,0,0.67078,"bandit50b","bandit50a",1,0.95699,1,14,0.33333,0.56667,0.56667,0.33333,0.23333,1,5,0
