"subID","trial","bandit","response","trueProb","RT"
"voc052a",1,"bandit50a",3,5,3.2749
"voc052a",2,"bandit70",7,7,2.1154
"voc052a",3,"bandit10",5,1,2.1156
"voc052a",4,"bandit50b",3,5,2.2028
"voc052a",5,"bandit30",6,3,1.5262
"voc052a",6,"bandit90",8,9,1.2309
