"subID","trial","bandit","response","trueProb","RT"
"voc077c",1,"bandit10",9,1,10.9136
"voc077c",2,"bandit30",9,3,3.9393
"voc077c",3,"bandit50b",3,5,3.8657
"voc077c",4,"bandit90",6,9,2.8017
"voc077c",5,"bandit70",9,7,1.8936
"voc077c",6,"bandit50a",2,5,2.4227
