"subID","trial","bandit","response","trueProb","RT"
"voc088t",1,"bandit90",3,9,3.989
"voc088t",2,"bandit70",8,7,2.2643
"voc088t",3,"bandit30",6,3,2.8266
"voc088t",4,"bandit50a",8,5,2.3092
"voc088t",5,"bandit50b",8,5,1.4863
"voc088t",6,"bandit10",6,1,2.6707
