"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc060a",128,"bandits9010","bandit90","bandit10",0,2,1,1.6696,"bandit90","bandit10",1,0.22377,1,10,0.88235,0.50368,0.88235,0.50368,0.37868,1,1,43
"voc060a",129,"bandits5050","bandit50a","bandit50b",5,1,0,1.3607,"bandit50b","bandit50a",2,0.42719,1,15,0.5,1,1,0.5,0.5,0,1,43
"voc060a",130,"bandits5050","bandit50a","bandit50b",1,2,1,1.6085,"bandit50b","bandit50a",2,0.23074,0,0,0.51429,0.60714,0.51429,0.60714,-0.092857,0,-1,44
"voc060a",131,"bandits7030","bandit70","bandit30",6,1,0,2.0942,"bandit30","bandit70",2,0.36274,0,6,0.70968,1.1215,1.1215,0.70968,0.41183,0,1,44
"voc060a",132,"bandits9010","bandit10","bandit90",4,2,1,3.1626,"bandit90","bandit10",2,0.27231,1,10,0.88571,0.90536,0.88571,0.90536,-0.019643,0,-1,44
"voc060a",133,"bandits7030","bandit70","bandit30",5,1,0,2.1602,"bandit30","bandit70",2,0.53058,1,15,0.70968,1.0087,1.0087,0.70968,0.29901,0,1,45
"voc060a",134,"bandits5050","bandit50a","bandit50b",3,2,1,2.9945,"bandit50b","bandit50a",2,0.43205,0,0,0.5,0.8,0.5,0.8,-0.3,0,-1,45
"voc060a",135,"bandits9010","bandit90","bandit10",6,1,0,3.0481,"bandit10","bandit90",2,0.44551,0,6,0.88889,1.1069,1.1069,0.88889,0.21806,0,1,45
"voc060a",136,"bandits9010","bandit10","bandit90",3,2,1,3.1223,"bandit90","bandit10",2,0.31383,1,10,0.88889,0.8,0.88889,0.8,0.088889,1,1,46
"voc060a",137,"bandits7030","bandit70","bandit30",0,2,1,2.006,"bandit70","bandit30",1,0.20342,1,10,0.70968,0.53341,0.70968,0.53341,0.17627,1,1,46
"voc060a",138,"bandits5050","bandit50a","bandit50b",2,2,1,4.1418,"bandit50b","bandit50a",2,0.49229,1,10,0.5,0.69324,0.5,0.69324,-0.19324,0,-1,46
"voc060a",139,"bandits9010","bandit10","bandit90",1,2,1,4.4347,"bandit10","bandit90",1,0.68456,0,0,0.89189,0.6015,0.89189,0.6015,0.29039,1,1,47
"voc060a",140,"bandits5050","bandit50b","bandit50a",6,1,0,1.6434,"bandit50b","bandit50a",1,0.55342,1,16,0.5,1.1,1.1,0.5,0.6,0,1,47
"voc060a",141,"bandits7030","bandit70","bandit30",3,2,1,2.745,"bandit70","bandit30",1,0.24887,0,0,0.71875,0.83795,0.71875,0.83795,-0.1192,0,-1,47
"voc060a",142,"bandits7030","bandit30","bandit70",4,2,1,2.9531,"bandit70","bandit30",2,0.20848,1,10,0.69697,0.92706,0.69697,0.92706,-0.23009,0,-1,48
"voc060a",143,"bandits9010","bandit10","bandit90",5,1,0,2.1297,"bandit90","bandit10",2,0.39643,1,15,0.89189,0.99595,0.99595,0.89189,0.10405,0,1,48
"voc060a",144,"bandits5050","bandit50b","bandit50a",4,1,0,3.8022,"bandit50a","bandit50b",2,1.2731,0,4,0.51282,0.90641,0.90641,0.51282,0.39359,0,1,48
"voc060a",145,"bandits7030","bandit70","bandit30",1,2,1,1.0121,"bandit70","bandit30",1,0.30546,0,0,0.70588,0.63151,0.70588,0.63151,0.07437,1,1,49
"voc060a",146,"bandits5050","bandit50b","bandit50a",0,2,1,1.2236,"bandit50b","bandit50a",1,0.24378,0,0,0.51282,0.47863,0.51282,0.47863,0.034188,1,1,49
"voc060a",147,"bandits9010","bandit90","bandit10",2,2,1,1.8453,"bandit90","bandit10",1,1.7613,1,10,0.89474,0.69737,0.89474,0.69737,0.19737,1,1,49
"voc060a",148,"bandits5050","bandit50a","bandit50b",3,2,1,0.95588,"bandit50b","bandit50a",2,0.74022,1,10,0.5,0.77222,0.5,0.77222,-0.27222,0,-1,50
"voc060a",149,"bandits7030","bandit70","bandit30",1,2,1,1.5437,"bandit70","bandit30",1,0.17659,1,10,0.68571,0.62143,0.68571,0.62143,0.064286,1,1,50
"voc060a",150,"bandits9010","bandit10","bandit90",5,2,1,4.6521,"bandit90","bandit10",2,0.37261,1,10,0.89744,0.99872,0.89744,0.99872,-0.10128,0,-1,50
"voc060a",151,"bandits5050","bandit50b","bandit50a",5,1,0,1.6564,"bandit50a","bandit50b",2,0.52522,1,15,0.5122,0.97832,0.97832,0.5122,0.46612,0,1,51
"voc060a",152,"bandits7030","bandit30","bandit70",2,2,1,1.4708,"bandit70","bandit30",2,1.7708,1,10,0.69444,0.72579,0.69444,0.72579,-0.031349,0,-1,51
"voc060a",153,"bandits9010","bandit90","bandit10",3,2,1,1.644,"bandit90","bandit10",1,0.2649,1,10,0.9,0.8,0.9,0.8,0.1,1,1,51
"voc060a",154,"bandits5050","bandit50b","bandit50a",6,1,0,1.2399,"bandit50b","bandit50a",1,0.70228,1,16,0.5122,1.1061,1.1061,0.5122,0.5939,0,1,52
"voc060a",155,"bandits7030","bandit70","bandit30",5,1,0,1.3452,"bandit70","bandit30",1,0.60402,1,15,0.7027,1.0299,1.0299,0.7027,0.32722,0,1,52
"voc060a",156,"bandits9010","bandit90","bandit10",6,1,0,1.2741,"bandit10","bandit90",2,0.55859,0,6,0.90244,1.1012,1.1012,0.90244,0.19878,0,1,52
"voc060a",157,"bandits7030","bandit70","bandit30",6,1,0,1.8311,"bandit30","bandit70",2,0.52497,1,16,0.71053,1.1338,1.1338,0.71053,0.42331,0,1,53
"voc060a",158,"bandits9010","bandit90","bandit10",2,2,1,2.2062,"bandit90","bandit10",1,0.99563,0,0,0.90244,0.69667,0.90244,0.69667,0.20576,1,1,53
"voc060a",159,"bandits5050","bandit50b","bandit50a",1,2,1,1.5329,"bandit50b","bandit50a",1,0.28588,0,0,0.52381,0.6119,0.52381,0.6119,-0.088095,0,-1,53
"voc060a",160,"bandits7030","bandit30","bandit70",4,2,1,3.1877,"bandit70","bandit30",2,0.54483,0,0,0.71053,0.95526,0.71053,0.95526,-0.24474,0,-1,54
"voc060a",161,"bandits9010","bandit90","bandit10",4,2,1,3.324,"bandit90","bandit10",1,0.21988,1,10,0.88095,0.88593,0.88095,0.88593,-0.0049784,0,-1,54
"voc060a",162,"bandits5050","bandit50b","bandit50a",4,2,1,6.2455,"bandit50b","bandit50a",1,0.27836,0,0,0.51163,0.90581,0.51163,0.90581,-0.39419,0,-1,54
"voc060a",163,"bandits5050","bandit50b","bandit50a",0,2,1,1.7643,"bandit50b","bandit50a",1,0.18784,0,0,0.5,0.5,0.5,0.5,0,,0,55
"voc060a",164,"bandits7030","bandit30","bandit70",3,2,1,2.4224,"bandit70","bandit30",2,0.25879,1,10,0.69231,0.84615,0.69231,0.84615,-0.15385,0,-1,55
"voc060a",165,"bandits9010","bandit90","bandit10",1,2,1,2.7786,"bandit90","bandit10",1,0.49691,1,10,0.88372,0.58732,0.88372,0.58732,0.29641,1,1,55
"voc060a",166,"bandits9010","bandit90","bandit10",0,2,1,1.2148,"bandit90","bandit10",1,0.2431,1,10,0.88636,0.48864,0.88636,0.48864,0.39773,1,1,56
