"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc091t",186,"bandits7030","bandit30","bandit70",6,2,1,0.66695,"bandit30","bandit70",1,0.82393,1,10,0.67647,1.0679,0.67647,1.0679,-0.39139,0,-1,62
"voc091t",187,"bandits5050","bandit50a","bandit50b",6,2,1,1.0437,"bandit50b","bandit50a",2,0.00015503,1,10,0.51613,1.1,0.51613,1.1,-0.58387,0,-1,63
"voc091t",188,"bandits7030","bandit30","bandit70",2,1,0,1.2291,"bandit70","bandit30",2,1.0779,1,12,0.67647,0.68109,0.68109,0.67647,0.0046218,0,1,63
"voc091t",189,"bandits9010","bandit10","bandit90",5,1,0,0.92354,"bandit90","bandit10",2,0.66477,1,15,0.89655,0.99373,0.99373,0.89655,0.097179,0,1,63
"voc091t",190,"bandits9010","bandit10","bandit90",2,2,1,1.3742,"bandit10","bandit90",1,1.1354,0,0,0.9,0.69545,0.9,0.69545,0.20455,1,1,64
"voc091t",191,"bandits5050","bandit50b","bandit50a",3,2,1,1.1026,"bandit50a","bandit50b",2,0.45842,0,0,0.51613,0.80806,0.51613,0.80806,-0.29194,0,-1,64
"voc091t",192,"bandits7030","bandit30","bandit70",2,1,0,0.8602,"bandit70","bandit30",2,0.68281,0,2,0.68571,0.68571,0.68571,0.68571,0,,0,64
"voc091t",193,"bandits5050","bandit50a","bandit50b",5,1,0,0.90522,"bandit50a","bandit50b",1,1.0071,0,5,0.5,1,1,0.5,0.5,0,1,65
"voc091t",194,"bandits7030","bandit70","bandit30",1,1,0,1.2798,"bandit30","bandit70",2,0.57564,0,1,0.66667,0.57619,0.57619,0.66667,-0.090476,1,-1,65
"voc091t",195,"bandits9010","bandit90","bandit10",0,2,1,0.3761,"bandit10","bandit90",2,0.92791,0,0,0.9,0.49412,0.9,0.49412,0.40588,1,1,65
"voc091t",196,"bandits5050","bandit50b","bandit50a",0,2,1,0.61552,"bandit50b","bandit50a",1,0.93476,0,0,0.5,0.49242,0.5,0.49242,0.0075758,1,1,66
"voc091t",197,"bandits7030","bandit70","bandit30",4,2,1,0.90971,"bandit30","bandit70",2,0.96065,1,10,0.66667,0.87126,0.66667,0.87126,-0.2046,0,-1,66
"voc091t",198,"bandits9010","bandit90","bandit10",4,2,1,1.1581,"bandit90","bandit10",1,1.5371,1,10,0.9,0.89286,0.9,0.89286,0.0071429,1,1,66
"voc091t",199,"bandits9010","bandit90","bandit10",5,2,1,1.743,"bandit10","bandit90",2,1.018,0,0,0.90323,0.99447,0.90323,0.99447,-0.091244,0,-1,67
"voc091t",200,"bandits7030","bandit70","bandit30",5,2,1,1.221,"bandit30","bandit70",2,0.00016794,0,0,0.66667,0.98333,0.66667,0.98333,-0.31667,0,-1,67
"voc091t",201,"bandits5050","bandit50b","bandit50a",6,2,1,0.67113,"bandit50b","bandit50a",1,0.63609,1,10,0.48485,1.0848,0.48485,1.0848,-0.6,0,-1,67
"voc091t",202,"bandits9010","bandit90","bandit10",3,1,0,2.5738,"bandit10","bandit90",2,1.5297,0,3,0.90323,0.79328,0.79328,0.90323,-0.10995,1,-1,68
"voc091t",203,"bandits7030","bandit70","bandit30",0,2,1,0.86202,"bandit70","bandit30",1,1.4498,1,10,0.66667,0.47849,0.66667,0.47849,0.18817,1,1,68
"voc091t",204,"bandits5050","bandit50b","bandit50a",2,1,0,3.4358,"bandit50b","bandit50a",1,2.5904,1,12,0.5,0.69242,0.69242,0.5,0.19242,0,1,68
"voc091t",205,"bandits7030","bandit30","bandit70",6,2,1,8.9759,"bandit30","bandit70",1,2.3869,0,0,0.67568,1.083,0.67568,1.083,-0.40732,0,-1,69
"voc091t",206,"bandits9010","bandit10","bandit90",6,2,1,1.5668,"bandit10","bandit90",1,1.7686,0,0,0.90323,1.0922,0.90323,1.0922,-0.18893,0,-1,69
"voc091t",207,"bandits5050","bandit50a","bandit50b",1,2,1,0.92645,"bandit50a","bandit50b",1,1.9297,0,0,0.51429,0.59957,0.51429,0.59957,-0.085281,0,-1,69
"voc091t",208,"bandits7030","bandit70","bandit30",3,2,1,2.9113,"bandit70","bandit30",1,1.123,1,10,0.67568,0.77846,0.67568,0.77846,-0.10279,0,-1,70
"voc091t",209,"bandits9010","bandit90","bandit10",1,2,1,1.4986,"bandit10","bandit90",2,0.62182,0,0,0.90323,0.59109,0.90323,0.59109,0.31214,1,1,70
"voc091t",210,"bandits5050","bandit50a","bandit50b",4,1,0,1.2418,"bandit50a","bandit50b",1,0.88253,1,14,0.51429,0.89244,0.89244,0.51429,0.37815,0,1,70
"voc091t",211,"bandits7030","bandit30","bandit70",2,1,0,2.0886,"bandit30","bandit70",1,2.5283,0,2,0.68421,0.68273,0.68273,0.68421,-0.0014803,1,-1,71
"voc091t",212,"bandits5050","bandit50a","bandit50b",1,2,1,0.43574,"bandit50b","bandit50a",2,0.33813,0,0,0.51429,0.6,0.51429,0.6,-0.085714,0,-1,71
"voc091t",213,"bandits9010","bandit10","bandit90",3,2,1,0.85658,"bandit10","bandit90",1,0.74971,1,10,0.90323,0.79007,0.90323,0.79007,0.11315,1,1,71
"voc091t",214,"bandits5050","bandit50a","bandit50b",6,1,0,0.99521,"bandit50b","bandit50a",2,1.3425,0,6,0.5,1.0929,1.0929,0.5,0.59286,0,1,72
"voc091t",215,"bandits9010","bandit10","bandit90",5,2,1,0.64169,"bandit10","bandit90",1,0.97463,0,0,0.90323,1.0016,0.90323,1.0016,-0.098387,0,-1,72
"voc091t",216,"bandits7030","bandit70","bandit30",6,2,1,2.4926,"bandit70","bandit30",1,0.76114,1,10,0.68421,1.0785,0.68421,1.0785,-0.39426,0,-1,72
"voc091t",217,"bandits7030","bandit30","bandit70",0,2,1,0.87137,"bandit70","bandit30",2,0.75624,1,10,0.69231,0.48252,0.69231,0.48252,0.20979,1,1,73
"voc091t",218,"bandits5050","bandit50b","bandit50a",3,1,0,0.93832,"bandit50b","bandit50a",1,0.94301,1,13,0.48649,0.7861,0.7861,0.48649,0.29961,0,1,73
"voc091t",219,"bandits9010","bandit90","bandit10",2,2,1,2.8893,"bandit90","bandit10",1,1.0779,1,10,0.90323,0.70039,0.90323,0.70039,0.20283,1,1,73
"voc091t",220,"bandits5050","bandit50b","bandit50a",0,2,1,0.90338,"bandit50a","bandit50b",2,0.3718,1,10,0.5,0.49286,0.5,0.49286,0.0071429,1,1,74
"voc091t",221,"bandits9010","bandit10","bandit90",6,1,0,1.1119,"bandit10","bandit90",1,1.6701,0,6,0.90625,1.1019,1.1019,0.90625,0.19566,0,1,74
"voc091t",222,"bandits7030","bandit70","bandit30",4,2,1,4.5565,"bandit30","bandit70",2,1.1594,1,10,0.7,0.88636,0.7,0.88636,-0.18636,0,-1,74
