"subID","trial","bandit","response","trueProb","RT"
"voc042a",1,"bandit70",5,7,5.6465
"voc042a",2,"bandit50a",4,5,2.7019
"voc042a",3,"bandit10",1,1,3.3754
"voc042a",4,"bandit50b",4,5,5.4722
"voc042a",5,"bandit30",1,3,2.2696
"voc042a",6,"bandit90",9,9,1.7222
