oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,RecoveredModel
0.598,0.045,0.076,0,0.041,0.002,0.057,0,oneAlpha_oneBeta
0.105,0.641,0.019,0.007,0.007,0.088,0.006,0.002,oneAlpha_twoBeta
0.108,0.005,0.636,0.036,0.012,0,0.016,0,twoAlpha_oneBeta
0.022,0.135,0.108,0.799,0.003,0.01,0.007,0.107,twoAlpha_twoBeta
0.11,0.009,0.014,0,0.701,0.062,0.118,0.018,oneAlpha_oneBeta_agencyBonus
0.021,0.14,0.002,0.003,0.098,0.696,0.021,0.077,oneAlpha_twoBeta_agencyBonus
0.027,0.002,0.126,0.006,0.112,0.015,0.67,0.053,twoAlpha_oneBeta_agencyBonus
0.009,0.023,0.019,0.149,0.026,0.127,0.105,0.743,twoAlpha_twoBeta_agencyBonus
