trial_type,trial_index,time_elapsed,internal_node_id,task_version,subject_id,interactions,success,rt,stimulus,key_press,button_pressed,offer,arcade_color_L,arcade_color_R,arcade_outcome_L,arcade_outcome_R,correct,stage_1_key,stage_1_choice,stage_1_rt,stage_2_key,stage_2_choice,stage_2_rt,stage_3_outcome,accuracy,phase,responses,num_errors,context,reward_prob_L,reward_prob_R,arcade_id_L,arcade_id_R,trial,block,response
fcp-trial,71,526513,0.0-32.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#FA92F8,#1CD855,0,10,0,38,1,835,39,0,2443,10,1,experiment,NA,NA,1,0.3,0.7,3,2,24,1,NA
fcp-trial,72,529431,0.0-33.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#741CD8,#D8271C,0,10,0,38,1,946,39,0,452.9999999998836,10,1,experiment,NA,NA,0,0.1,0.9,1,0,25,1,NA
fcp-trial,73,532722,0.0-34.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#1CD855,#FA92F8,0,0,1,38,1,971,37,1,812,0,1,experiment,NA,NA,1,0.7,0.3,2,3,26,1,NA
fcp-trial,74,536419,0.0-35.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#FA92F8,#1CD855,10,10,0,40,0,1481,37,1,706.0000000001164,10,0,experiment,NA,NA,1,0.3,0.7,3,2,27,1,NA
fcp-trial,75,540436,0.0-36.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#D89F1C,#3386FF,10,10,1,38,1,963,37,1,1546,10,1,experiment,NA,NA,2,0.5,0.5,4,5,28,1,NA
fcp-trial,76,543619,0.0-37.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#D89F1C,#3386FF,10,0,1,38,1,1003,39,0,668,0,0,experiment,NA,NA,2,0.5,0.5,4,5,29,1,NA
fcp-trial,77,546670,0.0-38.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#D8271C,#741CD8,10,0,1,38,1,955,37,1,586,10,1,experiment,NA,NA,0,0.9,0.1,0,1,30,1,NA
fcp-trial,78,550147,0.0-39.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#3386FF,#D89F1C,10,0,0,40,0,1336.9999999998836,37,1,630,10,0,experiment,NA,NA,2,0.5,0.5,5,4,31,1,NA
fcp-trial,79,553912,0.0-40.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#1CD855,#FA92F8,0,0,1,40,0,1654,39,0,602,0,0,experiment,NA,NA,1,0.7,0.3,2,3,32,1,NA
fcp-trial,80,557545,0.0-41.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#D89F1C,#3386FF,10,0,1,38,1,1621,37,1,479,10,1,experiment,NA,NA,2,0.5,0.5,4,5,33,1,NA
fcp-trial,81,560722,0.0-42.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#3386FF,#D89F1C,0,10,0,38,1,1217,39,0,449.0000000001164,10,1,experiment,NA,NA,2,0.5,0.5,5,4,34,1,NA
fcp-trial,82,563469,0.0-43.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#741CD8,#D8271C,10,10,0,38,1,706,39,0,531,10,1,experiment,NA,NA,0,0.1,0.9,1,0,35,1,NA
fcp-trial,83,566815,0.0-44.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#FA92F8,#1CD855,0,10,0,40,0,1097,37,1,739,0,0,experiment,NA,NA,1,0.3,0.7,3,2,36,1,NA
fcp-trial,84,569680,0.0-45.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#3386FF,#D89F1C,10,10,0,38,1,934,39,0,414,10,1,experiment,NA,NA,2,0.5,0.5,5,4,37,1,NA
fcp-trial,85,572418,0.0-46.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#741CD8,#D8271C,0,10,0,38,1,723,39,0,502,10,1,experiment,NA,NA,0,0.1,0.9,1,0,38,1,NA
fcp-trial,86,574879,0.0-47.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#741CD8,#D8271C,0,10,0,38,1,487.9999999998836,39,0,462,10,1,experiment,NA,NA,0,0.1,0.9,1,0,39,1,NA
fcp-trial,87,578725,0.0-48.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#FA92F8,#1CD855,10,10,0,38,1,1485,37,1,849,10,0,experiment,NA,NA,1,0.3,0.7,3,2,40,1,NA
fcp-trial,88,581345,0.0-49.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#741CD8,#D8271C,0,10,0,38,1,638,39,0,472.0000000001164,10,1,experiment,NA,NA,0,0.1,0.9,1,0,41,1,NA
fcp-trial,89,584086,0.0-50.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#3386FF,#D89F1C,10,10,0,38,1,785,39,0,447,10,1,experiment,NA,NA,2,0.5,0.5,5,4,42,1,NA
fcp-trial,90,586904,0.0-51.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#D89F1C,#3386FF,10,0,1,38,1,743,37,1,566,10,1,experiment,NA,NA,2,0.5,0.5,4,5,43,1,NA
fcp-trial,91,590220,0.0-52.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#741CD8,#D8271C,0,10,0,38,1,1318,39,0,484.0000000001164,10,1,experiment,NA,NA,0,0.1,0.9,1,0,44,1,NA
fcp-trial,92,594281,0.0-53.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#1CD855,#FA92F8,0,0,1,38,1,1965,37,1,564,0,1,experiment,NA,NA,1,0.7,0.3,2,3,45,1,NA
fcp-trial,93,597028,0.0-54.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#D89F1C,#3386FF,0,0,1,38,1,842,37,1,395,0,1,experiment,NA,NA,2,0.5,0.5,4,5,46,2,NA
fcp-trial,94,599909,0.0-55.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#FA92F8,#1CD855,10,10,0,38,1,911,39,0,460,10,1,experiment,NA,NA,1,0.3,0.7,3,2,47,2,NA
fcp-trial,95,602452,0.0-56.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#741CD8,#D8271C,0,10,0,38,1,573,39,0,459.0000000001164,10,1,experiment,NA,NA,0,0.1,0.9,1,0,48,2,NA
fcp-trial,96,605309,0.0-57.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#1CD855,#FA92F8,0,0,1,38,1,953,37,1,395,0,1,experiment,NA,NA,1,0.7,0.3,2,3,49,2,NA
fcp-trial,97,608024,0.0-58.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#D8271C,#741CD8,10,0,1,38,1,803,37,1,403,10,1,experiment,NA,NA,0,0.9,0.1,0,1,50,2,NA
fcp-trial,98,611802,0.0-59.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#3386FF,#D89F1C,0,0,0,38,1,1041,39,0,1226.9999999998836,0,1,experiment,NA,NA,2,0.5,0.5,5,4,51,2,NA
fcp-trial,99,614452,0.0-60.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#D89F1C,#3386FF,0,0,1,38,1,789,37,1,350,0,1,experiment,NA,NA,2,0.5,0.5,4,5,52,2,NA
fcp-trial,100,617653,0.0-61.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#FA92F8,#1CD855,0,10,0,38,1,1247,39,0,423,10,1,experiment,NA,NA,1,0.3,0.7,3,2,53,2,NA
fcp-trial,101,620595,0.0-62.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#D8271C,#741CD8,10,0,1,38,1,1065,37,1,346,10,1,experiment,NA,NA,0,0.9,0.1,0,1,54,2,NA
fcp-trial,102,625546,0.0-63.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#1CD855,#FA92F8,10,0,1,38,1,2140.0000000001164,37,1,1303.9999999998836,10,1,experiment,NA,NA,1,0.7,0.3,2,3,55,2,NA
fcp-trial,103,628939,0.0-64.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#D8271C,#741CD8,0,0,1,38,1,1383,37,1,480.0000000001164,0,1,experiment,NA,NA,0,0.9,0.1,0,1,56,2,NA
fcp-trial,104,632573,0.0-65.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#D89F1C,#3386FF,0,10,1,38,1,1690.9999999998836,37,1,434.0000000001164,0,1,experiment,NA,NA,2,0.5,0.5,4,5,57,2,NA
fcp-trial,105,636104,0.0-66.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#741CD8,#D8271C,10,10,0,38,1,1723,39,0,297,10,1,experiment,NA,NA,0,0.1,0.9,1,0,58,2,NA
fcp-trial,106,639821,0.0-67.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#3386FF,#D89F1C,0,10,0,38,1,1755.9999999998836,39,0,418,10,1,experiment,NA,NA,2,0.5,0.5,5,4,59,2,NA
fcp-trial,107,643883,0.0-68.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#1CD855,#FA92F8,0,0,1,38,1,1884,37,1,633,0,1,experiment,NA,NA,1,0.7,0.3,2,3,60,2,NA
fcp-trial,108,646714,0.0-69.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#D8271C,#741CD8,10,0,1,38,1,793,37,1,529,10,1,experiment,NA,NA,0,0.9,0.1,0,1,61,2,NA
fcp-trial,109,649475,0.0-70.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#FA92F8,#1CD855,0,0,0,38,1,831,37,1,399,0,0,experiment,NA,NA,1,0.3,0.7,3,2,62,2,NA
fcp-trial,110,652838,0.0-71.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#3386FF,#D89F1C,10,10,0,38,1,1288,39,0,565,10,1,experiment,NA,NA,2,0.5,0.5,5,4,63,2,NA
fcp-trial,111,655737,0.0-72.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#741CD8,#D8271C,0,10,0,38,1,974.9999999998836,39,0,416,10,1,experiment,NA,NA,0,0.1,0.9,1,0,64,2,NA
fcp-trial,112,658336,0.0-73.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#741CD8,#D8271C,0,10,0,38,1,640.9999999998836,39,0,450.0000000001164,10,1,experiment,NA,NA,0,0.1,0.9,1,0,65,2,NA
fcp-trial,113,661118,0.0-74.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#3386FF,#D89F1C,0,0,0,38,1,842,39,0,431.9999999998836,0,1,experiment,NA,NA,2,0.5,0.5,5,4,66,2,NA
fcp-trial,114,664058,0.0-75.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#3386FF,#D89F1C,10,10,0,38,1,972,37,1,455,10,0,experiment,NA,NA,2,0.5,0.5,5,4,67,2,NA
fcp-trial,115,666861,0.0-76.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#1CD855,#FA92F8,10,0,1,38,1,867.9999999998836,39,0,423.9999999998836,0,0,experiment,NA,NA,1,0.7,0.3,2,3,68,2,NA
fcp-trial,116,670370,0.0-77.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#1CD855,#FA92F8,10,0,1,38,1,1526.9999999998836,37,1,469,10,1,experiment,NA,NA,1,0.7,0.3,2,3,69,2,NA
fcp-trial,117,673175,0.0-78.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#D8271C,#741CD8,0,0,1,38,1,914,37,1,383,0,1,experiment,NA,NA,0,0.9,0.1,0,1,70,2,NA
fcp-trial,118,676190,0.0-79.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#FA92F8,#1CD855,10,10,0,38,1,554,37,1,950,10,0,experiment,NA,NA,1,0.3,0.7,3,2,71,2,NA
fcp-trial,119,679239,0.0-80.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#D89F1C,#3386FF,0,10,1,38,1,1138,39,0,399,10,0,experiment,NA,NA,2,0.5,0.5,4,5,72,2,NA
fcp-trial,120,682068,0.0-81.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#3386FF,#D89F1C,0,10,0,38,1,720,37,1,597,0,0,experiment,NA,NA,2,0.5,0.5,5,4,73,2,NA
fcp-trial,121,684989,0.0-82.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#D8271C,#741CD8,10,0,1,38,1,1058,37,1,354.0000000001164,10,1,experiment,NA,NA,0,0.9,0.1,0,1,74,2,NA
fcp-trial,122,689063,0.0-83.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#D89F1C,#3386FF,10,0,1,38,1,2141,37,1,412,10,1,experiment,NA,NA,2,0.5,0.5,4,5,75,2,NA
fcp-trial,123,692463,0.0-84.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#1CD855,#FA92F8,0,0,1,38,1,1557.9999999998836,39,0,334,0,0,experiment,NA,NA,1,0.7,0.3,2,3,76,2,NA
fcp-trial,124,695174,0.0-85.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#FA92F8,#1CD855,0,0,0,38,1,705,37,1,477,0,0,experiment,NA,NA,1,0.3,0.7,3,2,77,2,NA
fcp-trial,125,697792,0.0-86.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#D8271C,#741CD8,0,0,1,38,1,674,37,1,433,0,1,experiment,NA,NA,0,0.9,0.1,0,1,78,2,NA
fcp-trial,126,700438,0.0-87.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,6,#741CD8,#D8271C,0,10,0,38,1,718,39,0,417,10,1,experiment,NA,NA,0,0.1,0.9,1,0,79,2,NA
fcp-trial,127,704702,0.0-88.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#D89F1C,#3386FF,0,10,1,38,1,1987.0000000001164,39,0,767,10,0,experiment,NA,NA,2,0.5,0.5,4,5,80,2,NA
fcp-trial,128,707452,0.0-89.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#D89F1C,#3386FF,0,10,1,38,1,774,39,0,467,10,0,experiment,NA,NA,2,0.5,0.5,4,5,81,2,NA
fcp-trial,129,711087,0.0-90.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#1CD855,#FA92F8,10,10,1,38,1,1406.0000000001164,37,1,718.9999999998836,10,1,experiment,NA,NA,1,0.7,0.3,2,3,82,2,NA
fcp-trial,130,714496,0.0-91.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#D8271C,#741CD8,10,10,1,38,1,1409,37,1,446,10,1,experiment,NA,NA,0,0.9,0.1,0,1,83,2,NA
fcp-trial,131,719444,0.0-92.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,5,#1CD855,#FA92F8,10,0,1,38,1,2106,39,0,1330.9999999998836,0,0,experiment,NA,NA,1,0.7,0.3,2,3,84,2,NA
fcp-trial,132,722175,0.0-93.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#D8271C,#741CD8,10,0,1,38,1,820,37,1,401,10,1,experiment,NA,NA,0,0.9,0.1,0,1,85,2,NA
fcp-trial,133,725572,0.0-94.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#3386FF,#D89F1C,10,10,0,38,1,1304,37,1,583,10,0,experiment,NA,NA,2,0.5,0.5,5,4,86,2,NA
fcp-trial,134,729617,0.0-95.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#FA92F8,#1CD855,0,0,0,38,1,2002,37,1,534,0,0,experiment,NA,NA,1,0.3,0.7,3,2,87,2,NA
fcp-trial,135,733004,0.0-96.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,3,#741CD8,#D8271C,0,10,0,38,1,1395,39,0,481,10,1,experiment,NA,NA,0,0.1,0.9,1,0,88,2,NA
fcp-trial,136,736710,0.0-97.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,2,#1CD855,#FA92F8,10,0,1,38,1,1436,39,0,761,0,0,experiment,NA,NA,1,0.7,0.3,2,3,89,2,NA
fcp-trial,137,739331,0.0-98.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,4,#D8271C,#741CD8,10,0,1,38,1,613.0000000001164,37,1,497.9999999998836,10,1,experiment,NA,NA,0,0.9,0.1,0,1,90,2,NA
fcp-trial,138,742162,0.0-99.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#3386FF,#D89F1C,0,0,0,38,1,788,37,1,511,0,0,experiment,NA,NA,2,0.5,0.5,5,4,91,3,NA
fcp-trial,139,745173,0.0-100.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,0,#1CD855,#FA92F8,0,0,1,38,1,1052,39,0,451,0,0,experiment,NA,NA,1,0.7,0.3,2,3,92,3,NA
fcp-trial,140,748610,0.0-101.0-0.0,voc_e2,12108,"[{""event"":""fullscreenenter"",""trial"":1,""time"":3033}]",NA,NA,NA,NA,NA,1,#FA92F8,#1CD855,0,10,0,38,1,1260,37,1,668,0,0,experiment,NA,NA,1,0.3,0.7,3,2,93,3,NA
