trial_type,trial_index,time_elapsed,internal_node_id,task_version,subject_id,interactions,success,rt,stimulus,key_press,button_pressed,offer,arcade_color_L,arcade_color_R,arcade_outcome_L,arcade_outcome_R,correct,stage_1_key,stage_1_choice,stage_1_rt,stage_2_key,stage_2_choice,stage_2_rt,stage_3_outcome,accuracy,phase,responses,num_errors,context,reward_prob_L,reward_prob_R,arcade_id_L,arcade_id_R,trial,block,response
pavlovia,0,8,0.0-0.0,voc_e2,12250,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fullscreen,1,8151,0.0-1.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-keyboard-response,2,10722,0.0-2.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,2528,static/audio/beep_loop.wav,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,3,12218,0.0-3.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,static/audio/turtle.wav,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,4,14327,0.0-4.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,static/audio/shark.wav,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,5,29821,0.0-5.0-0.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,9710,static/audio/instructions1.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,6,40232,0.0-5.0-1.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,3669.200000047684,static/audio/instructions2.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,7,47039,0.0-5.0-2.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,1002.6999998092653,static/audio/instructions3.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,8,61656,0.0-5.0-3.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,1391.7000000476835,static/audio/instructions4.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,9,71520,0.0-5.0-4.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,474.60000014305115,static/audio/instructions5.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,10,73624,0.0-5.0-5.0-0.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,590.3999998569489,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,11,75489,0.0-5.0-5.0-1.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,360.7000000476837,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,12,77311,0.0-5.0-5.0-2.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,0,10,1,null,null,null,37,1,318.2000000476837,0,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,13,79226,0.0-5.0-5.0-3.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,411.5,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,14,81233,0.0-5.0-5.0-4.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,500.59999990463257,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,15,101517,0.0-5.0-6.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,2277.099999904633,static/audio/instructions6.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,16,121373,0.0-5.0-7.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,655.7000000476837,static/audio/instructions7.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,17,131332,0.0-5.0-8.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,487.2999999523163,static/audio/instructions8.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-comprehension,18,144615,0.0-5.0-9.0,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,13281.199999809263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"false,true",1,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,19,157525,0.0-5.1-0.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,8130.900000095367,static/audio/instructions1.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,20,164939,0.0-5.1-1.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,670.6999998092651,static/audio/instructions2.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,21,171648,0.0-5.1-2.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,905.4000000953674,static/audio/instructions3.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,22,185528,0.0-5.1-3.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,652.5999999046326,static/audio/instructions4.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,23,195326,0.0-5.1-4.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,407.7999999523163,static/audio/instructions5.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,24,197563,0.0-5.1-5.1-0.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,731.7999999523163,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,25,199399,0.0-5.1-5.1-1.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,329.30000019073486,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,26,201656,0.0-5.1-5.1-2.1,voc_e2,12250,"[{""event"":""fullscreenenter"",""trial"":1,""time"":7152}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,0,10,1,null,null,null,37,1,752.1999998092651,0,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
