trial_type,trial_index,time_elapsed,internal_node_id,task_version,subject_id,interactions,success,rt,stimulus,key_press,button_pressed,offer,arcade_color_L,arcade_color_R,arcade_outcome_L,arcade_outcome_R,correct,stage_1_key,stage_1_choice,stage_1_rt,stage_2_key,stage_2_choice,stage_2_rt,stage_3_outcome,accuracy,phase,responses,num_errors,context,reward_prob_L,reward_prob_R,arcade_id_L,arcade_id_R,trial,block,response
pavlovia,0,63,0.0-0.0,voc_e2,11724,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fullscreen,1,2435,0.0-1.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-keyboard-response,2,5507,0.0-2.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,2850,static/audio/beep_loop.wav,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,3,7025,0.0-3.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,static/audio/turtle.wav,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-test,4,9192,0.0-4.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,static/audio/shark.wav,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,5,15883,0.0-5.0-0.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,905.3000000119208,static/audio/instructions1.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,6,25760,0.0-5.0-1.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,3131.300000011921,static/audio/instructions2.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,7,32636,0.0-5.0-2.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1073.7000000178814,static/audio/instructions3.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,8,46660,0.0-5.0-3.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,793.5,static/audio/instructions4.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,9,57473,0.0-5.0-4.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1430,static/audio/instructions5.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,10,60191,0.0-5.0-5.0-0.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,1201.4000000059605,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,11,62463,0.0-5.0-5.0-1.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,763.6999999880791,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,12,64342,0.0-5.0-5.0-2.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,0,10,1,null,null,null,37,1,370.300000011921,0,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,13,66197,0.0-5.0-5.0-3.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,348.10000002384186,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,14,67960,0.0-5.0-5.0-4.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,247.89999997615817,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,15,87275,0.0-5.0-6.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1306.300000011921,static/audio/instructions6.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,16,108041,0.0-5.0-7.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1563.199999988079,static/audio/instructions7.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,17,118684,0.0-5.0-8.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1170.9000000059605,static/audio/instructions8.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-comprehension,18,128339,0.0-5.0-9.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,9653.19999998808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"false,true",1,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,19,133992,0.0-5.1-0.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,868.5999999940395,static/audio/instructions1.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,20,141711,0.0-5.1-1.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,977.2000000178814,static/audio/instructions2.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,21,148040,0.0-5.1-2.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,525.7999999821186,static/audio/instructions3.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,22,162583,0.0-5.1-3.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1316.7999999821186,static/audio/instructions4.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,23,172424,0.0-5.1-4.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,452.199999988079,static/audio/instructions5.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,24,174289,0.0-5.1-5.1-0.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,358.80000001192093,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,25,175913,0.0-5.1-5.1-1.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,113.2000000178814,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,26,177939,0.0-5.1-5.1-2.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,0,10,1,null,null,null,37,1,515.0999999940395,0,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,27,179489,0.0-5.1-5.1-3.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,41.900000005960464,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-practice,28,181015,0.0-5.1-5.1-4.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,NA,#EDC948,#46d3c8,10,0,1,null,null,null,37,1,22,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,29,200086,0.0-5.1-6.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1063.0999999940395,static/audio/instructions6.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,30,221292,0.0-5.1-7.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,2002.899999976158,static/audio/instructions7.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,31,231391,0.0-5.1-8.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,625.6000000238419,static/audio/instructions8.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-comprehension,32,240408,0.0-5.1-9.1,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,9015.399999976158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"true,true",0,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,33,247256,0.0-6.0-0.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1298.199999988079,static/audio/instructions9.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,34,263436,0.0-6.0-1.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,4062.400000005961,static/audio/instructions10.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-trial,35,272662,0.0-6.0-2.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,0,#EDC948,#46d3c8,10,10,1,38,1,6047,37,1,1662.7999999821186,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,36,285834,0.0-6.0-3.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,2159.9000000059605,static/audio/instructions11.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcp-trial,37,289148,0.0-6.0-4.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,NA,NA,NA,NA,6,#EDC948,#46d3c8,10,10,1,40,0,889.3000000119209,37,1,909.9000000059604,10,1,practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,38,309915,0.0-6.0-5.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,2074.800000011921,static/audio/instructions12.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,39,318329,0.0-6.0-6.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,817.3999999761581,static/audio/instructions13.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,40,328462,0.0-6.0-7.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,1679.0999999940395,static/audio/instructions14.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,41,336264,0.0-7.0-0.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,889.5,static/audio/instructions15.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
audio-instructions,42,343900,0.0-7.0-1.0,voc_e2,11724,"[{""event"":""fullscreenenter"",""trial"":1,""time"":1450}]",NA,810.6999999880791,static/audio/instructions16.wav,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
