subID,trial,leftBandit,rightBandit,selectedBandit,banditKeyResp,RT,accuracy,diff,correct
voc019a,43,bandit50b,bandit90,bandit90,2,0.77373,1,0.4,1
voc019a,44,bandit50a,bandit70,bandit70,2,1.5276,1,0.2,1
voc019a,45,bandit30,bandit10,bandit30,1,0.74752,1,0.2,1
voc019a,46,bandit30,bandit50a,bandit30,1,2.7908,-1,0.2,0
voc019a,47,bandit30,bandit50b,bandit30,1,0.83848,-1,0.2,0
voc019a,48,bandit90,bandit50b,bandit90,1,0.79779,1,0.4,1
voc019a,49,bandit90,bandit70,bandit90,1,0.60742,1,0.2,1
voc019a,50,bandit10,bandit30,bandit30,2,0.80734,1,0.2,1
voc019a,51,bandit90,bandit50a,bandit90,1,0.70495,1,0.4,1
voc019a,52,bandit30,bandit70,bandit70,2,0.83817,1,0.4,1
voc019a,53,bandit10,bandit90,bandit90,2,0.8129,1,0.8,1
voc019a,54,bandit10,bandit50a,bandit50a,2,0.90208,1,0.4,1
voc019a,55,bandit70,bandit50a,bandit70,1,1.8192,1,0.2,1
voc019a,56,bandit70,bandit50b,bandit70,1,0.77753,1,0.2,1
voc019a,57,bandit90,bandit30,bandit90,1,0.82109,1,0.6,1
voc019a,58,bandit10,bandit70,bandit70,2,1.0525,1,0.6,1
voc019a,59,bandit50b,bandit50a,bandit50a,2,4.1632,0,0,0
voc019a,60,bandit10,bandit50b,bandit50b,2,0.84406,1,0.4,1
voc019a,61,bandit70,bandit30,bandit70,1,1.1633,1,0.4,1
voc019a,62,bandit30,bandit90,bandit30,1,0.82166,-1,0.6,0
voc019a,63,bandit50b,bandit90,bandit90,2,0.62904,1,0.4,1
voc019a,64,bandit50b,bandit70,bandit70,2,0.9489,1,0.2,1
voc019a,65,bandit30,bandit10,bandit30,1,1.3126,1,0.2,1
voc019a,66,bandit50a,bandit50b,bandit50a,1,2.501,0,0,0
voc019a,67,bandit90,bandit10,bandit90,1,0.87984,1,0.8,1
voc019a,68,bandit70,bandit10,bandit70,1,0.84476,1,0.6,1
voc019a,69,bandit50a,bandit10,bandit50a,1,0.68587,1,0.4,1
voc019a,70,bandit50a,bandit70,bandit70,2,1.0348,1,0.2,1
voc019a,71,bandit50b,bandit30,bandit30,2,1.6345,-1,0.2,0
voc019a,72,bandit70,bandit90,bandit90,2,0.72873,1,0.2,1
voc019a,73,bandit50a,bandit30,bandit30,2,2.4533,-1,0.2,0
voc019a,74,bandit50a,bandit90,bandit90,2,0.81067,1,0.4,1
voc019a,75,bandit50b,bandit10,bandit50b,1,0.73182,1,0.4,1
voc019a,76,bandit70,bandit50a,bandit70,1,0.75095,1,0.2,1
voc019a,77,bandit90,bandit50b,bandit90,1,0.75437,1,0.4,1
voc019a,78,bandit30,bandit50a,bandit30,1,1.6857,-1,0.2,0
voc019a,79,bandit50b,bandit50a,bandit50b,1,1.4497,0,0,0
voc019a,80,bandit10,bandit90,bandit90,2,1.2646,1,0.8,1
voc019a,81,bandit10,bandit50b,bandit50b,2,0.97505,1,0.4,1
voc019a,82,bandit90,bandit30,bandit90,1,1.1601,1,0.6,1
voc019a,83,bandit30,bandit50b,bandit30,1,1.2265,-1,0.2,0
voc019a,84,bandit10,bandit30,bandit30,2,0.69063,1,0.2,1
voc019a,85,bandit30,bandit70,bandit70,2,0.84944,1,0.4,1
voc019a,86,bandit90,bandit70,bandit90,1,0.68835,1,0.2,1
voc019a,87,bandit90,bandit50a,bandit50a,2,0.62892,-1,0.4,0
voc019a,88,bandit70,bandit50b,bandit70,1,1.0295,1,0.2,1
voc019a,89,bandit10,bandit70,bandit70,2,0.8053,1,0.6,1
voc019a,90,bandit10,bandit50a,bandit50a,2,0.78973,1,0.4,1
voc020a,1,bandit50b,bandit90,bandit90,2,2.9491,1,0.4,1
voc020a,2,bandit50a,bandit90,bandit90,2,1.0694,1,0.4,1
voc020a,3,bandit70,bandit90,bandit90,2,1.2198,1,0.2,1
voc020a,4,bandit50a,bandit30,bandit50a,1,1.0449,1,0.2,1
voc020a,5,bandit70,bandit30,bandit70,1,1.8518,1,0.4,1
voc020a,6,bandit50b,bandit70,bandit70,2,2.1139,1,0.2,1
voc020a,7,bandit50a,bandit10,bandit50a,1,1.3246,1,0.4,1
voc020a,8,bandit50a,bandit70,bandit70,2,2.4584,1,0.2,1
voc020a,9,bandit70,bandit10,bandit70,1,2.9273,1,0.6,1
voc020a,10,bandit50b,bandit10,bandit50b,1,0.94611,1,0.4,1
voc020a,11,bandit50a,bandit50b,bandit50a,1,1.9404,0,0,0
voc020a,12,bandit50b,bandit30,bandit50b,1,4.6796,1,0.2,1
voc020a,13,bandit30,bandit10,bandit30,1,1.674,1,0.2,1
voc020a,14,bandit30,bandit90,bandit90,2,0.98472,1,0.6,1
voc020a,15,bandit90,bandit10,bandit90,1,0.80932,1,0.8,1
voc020a,16,bandit10,bandit70,bandit70,2,2.9786,1,0.6,1
voc020a,17,bandit90,bandit50b,bandit90,1,1.308,1,0.4,1
voc020a,18,bandit30,bandit50a,bandit50a,2,1.7194,1,0.2,1
voc020a,19,bandit90,bandit50a,bandit90,1,0.68341,1,0.4,1
voc020a,20,bandit10,bandit50a,bandit50a,2,4.7616,1,0.4,1
voc020a,21,bandit50b,bandit50a,bandit50a,2,1.9529,0,0,0
voc020a,22,bandit10,bandit50b,bandit50b,2,2.6116,1,0.4,1
voc020a,23,bandit30,bandit70,bandit70,2,3.1153,1,0.4,1
voc020a,24,bandit90,bandit30,bandit90,1,0.87744,1,0.6,1
voc020a,25,bandit10,bandit30,bandit30,2,3.036,1,0.2,1
voc020a,26,bandit70,bandit50a,bandit70,1,5.0022,1,0.2,1
voc020a,27,bandit10,bandit90,bandit90,2,0.66278,1,0.8,1
voc020a,28,bandit70,bandit50b,bandit70,1,1.5824,1,0.2,1
voc020a,29,bandit90,bandit70,bandit90,1,0.73579,1,0.2,1
voc020a,30,bandit30,bandit50b,bandit50b,2,3.379,1,0.2,1
voc020a,31,bandit50b,bandit10,bandit50b,1,0.97946,1,0.4,1
voc020a,32,bandit30,bandit10,bandit30,1,1.1007,1,0.2,1
voc020a,33,bandit70,bandit90,bandit90,2,0.77027,1,0.2,1
voc020a,34,bandit30,bandit90,bandit90,2,0.67536,1,0.6,1
voc020a,35,bandit50b,bandit70,bandit70,2,1.7461,1,0.2,1
voc020a,36,bandit50a,bandit30,bandit50a,1,1.8121,1,0.2,1
voc020a,37,bandit50b,bandit30,bandit50b,1,2.1732,1,0.2,1
voc020a,38,bandit90,bandit10,bandit90,1,0.89463,1,0.8,1
voc020a,39,bandit50a,bandit10,bandit50a,1,1.3239,1,0.4,1
voc020a,40,bandit70,bandit30,bandit70,1,1.487,1,0.4,1
