subID,trial,bandit,response,trueProb,RT,error
voc034a,4,bandit50b,5,5,1.9055,0
voc034a,5,bandit90,9,9,1.1151,0
voc034a,6,bandit30,9,3,2.4435,6
voc035a,1,bandit90,9,9,6.3312,0
voc035a,2,bandit50b,7,5,2.6468,2
voc035a,3,bandit70,6,7,6.931,1
voc035a,4,bandit50a,4,5,2.2707,1
voc035a,5,bandit10,2,1,3.9295,1
voc035a,6,bandit30,2,3,1.933,1
voc036a,1,bandit90,9,9,2.3278,0
voc036a,2,bandit50a,6,5,5.4718,1
voc036a,3,bandit50b,5,5,3.0463,0
voc036a,4,bandit10,2,1,1.6089,1
voc036a,5,bandit70,7,7,3.4457,0
voc036a,6,bandit30,4,3,4.0158,1
voc037a,1,bandit30,4,3,5.0015,1
voc037a,2,bandit70,9,7,3.4911,2
voc037a,3,bandit50a,6,5,4.0108,1
voc037a,4,bandit10,3,1,2.2223,2
voc037a,5,bandit90,7,9,3.8262,2
voc037a,6,bandit50b,8,5,1.8277,3
voc039a,1,bandit90,9,9,2.3465,0
voc039a,2,bandit10,3,1,3.9597,2
voc039a,3,bandit50a,7,5,1.9012,2
voc039a,4,bandit30,6,3,4.6937,3
voc039a,5,bandit50b,8,5,4.7088,3
voc039a,6,bandit70,2,7,2.7543,5
voc040a,1,bandit90,7,9,38.6809,2
voc040a,2,bandit30,4,3,22.7766,1
voc040a,3,bandit50b,5,5,4.0002,0
voc040a,4,bandit70,9,7,2.3555,2
voc040a,5,bandit10,1,1,2.3463,0
voc040a,6,bandit50a,3,5,2.5369,2
voc041a,1,bandit50b,4,5,10.5482,1
voc041a,2,bandit90,5,9,3.8685,4
voc041a,3,bandit30,2,3,6.9895,1
voc041a,4,bandit70,5,7,2.0379,2
voc041a,5,bandit10,2,1,3.1613,1
voc041a,6,bandit50a,6,5,2.4068,1
voc042a,1,bandit70,5,7,5.6465,2
voc042a,2,bandit50a,4,5,2.7019,1
voc042a,3,bandit10,1,1,3.3754,0
voc042a,4,bandit50b,4,5,5.4722,1
voc042a,5,bandit30,1,3,2.2696,2
voc042a,6,bandit90,9,9,1.7222,0
voc043a,1,bandit70,7,7,4.9996,0
voc043a,2,bandit50a,5,5,2.1706,0
voc043a,3,bandit50b,5,5,2.6242,0
voc043a,4,bandit10,2,1,3.099,1
voc043a,5,bandit90,9,9,1.8275,0
voc043a,6,bandit30,3,3,5.7997,0
voc044a,1,bandit70,8,7,5.8337,1
voc044a,2,bandit30,1,3,1.6907,2
voc044a,3,bandit90,9,9,1.2837,0
voc044a,4,bandit50a,5,5,2.5006,0
voc044a,5,bandit50b,5,5,10.2055,0
voc044a,6,bandit10,1,1,3.7555,0
voc045a,1,bandit70,7,7,4.557,0
voc045a,2,bandit50b,2,5,2.5924,3
voc045a,3,bandit50a,4,5,4.6217,1
voc045a,4,bandit30,2,3,1.5678,1
voc045a,5,bandit10,1,1,0.92601,0
voc045a,6,bandit90,9,9,1.5096,0
voc046a,1,bandit90,9,9,5.592,0
voc046a,2,bandit70,8,7,8.2346,1
voc046a,3,bandit50a,4,5,9.0019,1
voc046a,4,bandit50b,3,5,2.3703,2
voc046a,5,bandit30,5,3,2.4947,2
voc046a,6,bandit10,6,1,2.4404,5
voc047a,1,bandit10,4,1,6.0939,3
voc047a,2,bandit50b,2,5,4.0928,3
voc047a,3,bandit90,7,9,3.2121,2
voc047a,4,bandit50a,6,5,2.3193,1
voc047a,5,bandit70,8,7,1.7913,1
voc047a,6,bandit30,7,3,1.9638,4
voc048a,1,bandit30,4,3,8.7016,1
voc048a,2,bandit10,4,1,6.2641,3
voc048a,3,bandit70,8,7,2.24,1
voc048a,4,bandit50a,3,5,16.0176,2
voc048a,5,bandit90,8,9,2.1405,1
voc048a,6,bandit50b,8,5,3.0432,3
voc049a,1,bandit50b,5,5,5.1223,0
voc049a,2,bandit10,3,1,5.9127,2
voc049a,3,bandit70,7,7,7.1822,0
voc049a,4,bandit50a,5,5,1.8086,0
voc049a,5,bandit90,8,9,1.3322,1
voc049a,6,bandit30,3,3,3.7244,0
voc050a,1,bandit70,4,7,4.4714,3
voc050a,2,bandit90,8,9,2.792,1
voc050a,3,bandit30,6,3,3.0846,3
voc050a,4,bandit50a,5,5,2.5728,0
voc050a,5,bandit10,4,1,1.9948,3
voc050a,6,bandit50b,6,5,5.6397,1
voc051a,1,bandit70,3,7,3.0468,4
voc051a,2,bandit50b,8,5,2.409,3
voc051a,3,bandit30,4,3,2.4529,1
voc051a,4,bandit90,9,9,2.1115,0
voc051a,5,bandit50a,4,5,2.3995,1
voc051a,6,bandit10,2,1,3.2924,1
voc052a,1,bandit50a,3,5,3.2749,2
voc052a,2,bandit70,7,7,2.1154,0
voc052a,3,bandit10,5,1,2.1156,4
voc052a,4,bandit50b,3,5,2.2028,2
voc052a,5,bandit30,6,3,1.5262,3
voc052a,6,bandit90,8,9,1.2309,1
voc053a,1,bandit90,8,9,3.064,1
voc053a,2,bandit50a,2,5,2.1767,3
voc053a,3,bandit10,4,1,2.2222,3
voc053a,4,bandit50b,2,5,1.0424,3
voc053a,5,bandit30,4,3,2.5339,1
voc053a,6,bandit70,8,7,1.2846,1
voc055a,1,bandit10,2,1,3.8773,1
voc055a,2,bandit50b,5,5,1.9976,0
voc055a,3,bandit90,9,9,1.5548,0
voc055a,4,bandit30,6,3,2.1443,3
voc055a,5,bandit70,4,7,3.1197,3
voc055a,6,bandit50a,7,5,3.6471,2
voc056a,1,bandit50a,8,5,2.7842,3
voc056a,2,bandit10,7,1,2.1405,6
voc056a,3,bandit50b,6,5,1.8922,1
voc056a,4,bandit70,4,7,1.3726,3
voc056a,5,bandit30,5,3,0.86717,2
voc056a,6,bandit90,3,9,1.7977,6
voc057a,1,bandit10,4,1,2.8153,3
voc057a,2,bandit30,5,3,2.0824,2
voc057a,3,bandit50a,7,5,2.5872,2
voc057a,4,bandit70,6,7,1.368,1
voc057a,5,bandit90,5,9,1.1666,4
voc057a,6,bandit50b,7,5,2.8045,2
voc058a,1,bandit70,8,7,2.8692,1
voc058a,2,bandit90,8,9,2.8704,1
voc058a,3,bandit50a,5,5,3.2386,0
voc058a,4,bandit50b,5,5,0.94534,0
voc058a,5,bandit10,2,1,2.6808,1
voc058a,6,bandit30,3,3,1.4422,0
voc059a,1,bandit50a,7,5,2.9748,2
voc059a,2,bandit50b,8,5,1.2911,3
voc059a,3,bandit10,5,1,1.3252,4
voc059a,4,bandit30,6,3,1.284,3
voc059a,5,bandit90,4,9,0.71795,5
voc059a,6,bandit70,5,7,0.85513,2
voc060a,1,bandit70,5,7,3.5972,2
voc060a,2,bandit10,1,1,3.9925,0
voc060a,3,bandit30,2,3,5.7806,1
voc060a,4,bandit90,8,9,5.247,1
voc060a,5,bandit50b,6,5,3.5193,1
voc060a,6,bandit50a,3,5,6.8299,2
voc061a,1,bandit30,4,3,4.7866,1
voc061a,2,bandit50a,7,5,5.1087,2
voc061a,3,bandit90,7,9,2.4429,2
voc061a,4,bandit70,6,7,2.5408,1
voc061a,5,bandit50b,4,5,3.1165,1
voc061a,6,bandit10,3,1,4.5792,2
voc062a,1,bandit10,3,1,7.4959,2
voc062a,2,bandit70,4,7,4.742,3
voc062a,3,bandit50b,2,5,2.8183,3
voc062a,4,bandit90,9,9,3.174,0
voc062a,5,bandit30,6,3,5.2583,3
voc062a,6,bandit50a,3,5,2.675,2
voc063a,1,bandit30,5,3,16.8213,2
voc063a,2,bandit50a,3,5,19.5501,2
voc063a,3,bandit50b,6,5,21.969,1
voc063a,4,bandit90,8,9,4.0572,1
voc063a,5,bandit10,2,1,2.7703,1
voc063a,6,bandit70,7,7,2.431,0
voc064a,1,bandit90,9,9,2.8816,0
voc064a,2,bandit50a,5,5,1.8807,0
voc064a,3,bandit10,1,1,3.0265,0
voc064a,4,bandit30,2,3,3.7171,1
voc064a,5,bandit70,8,7,1.6676,1
voc064a,6,bandit50b,5,5,1.7894,0
voc066a,1,bandit90,9,9,4.9819,0
voc066a,2,bandit30,1,3,5.5443,2
voc066a,3,bandit70,8,7,6.7566,1
voc066a,4,bandit10,1,1,2.0952,0
voc066a,5,bandit50a,5,5,3.3118,0
voc066a,6,bandit50b,6,5,2.1754,1
voc067a,1,bandit70,7,7,6.4205,0
voc067a,2,bandit50b,5,5,3.6224,0
voc067a,3,bandit50a,5,5,1.3528,0
voc067a,4,bandit10,2,1,6.48,1
voc067a,5,bandit90,9,9,2.4779,0
voc067a,6,bandit30,4,3,3.6784,1
voc068t,1,bandit10,2,1,6.1079,1
voc068t,2,bandit50b,4,5,3.1528,1
voc068t,3,bandit30,5,3,1.8393,2
voc068t,4,bandit50a,6,5,1.7705,1
voc068t,5,bandit70,7,7,1.0962,0
voc068t,6,bandit90,9,9,2.2569,0
voc069t,1,bandit10,6,1,8.9612,5
voc069t,2,bandit90,7,9,5.4595,2
voc069t,3,bandit50b,4,5,6.3545,1
voc069t,4,bandit50a,8,5,2.5417,3
voc069t,5,bandit70,6,7,3.1886,1
voc069t,6,bandit30,4,3,2.1447,1
voc070c,1,bandit30,3,3,7.5747,0
voc070c,2,bandit50b,4,5,7.5036,1
voc070c,3,bandit90,9,9,2.565,0
voc070c,4,bandit10,1,1,2.1139,0
voc070c,5,bandit50a,2,5,5.5141,3
voc070c,6,bandit70,6,7,5.4639,1
voc071t,1,bandit50a,6,5,8.3146,1
voc071t,2,bandit50b,4,5,1.8375,1
voc071t,3,bandit10,3,1,1.7918,2
voc071t,4,bandit70,7,7,2.9176,0
voc071t,5,bandit30,4,3,2.0453,1
voc071t,6,bandit90,5,9,1.9429,4
voc072c,1,bandit30,3,3,17.6059,0
voc072c,2,bandit50b,4,5,3.6082,1
voc072c,3,bandit90,9,9,3.2197,0
voc072c,4,bandit10,1,1,1.8063,0
voc072c,5,bandit50a,7,5,3.5629,2
voc072c,6,bandit70,4,7,4.9612,3
voc073t,1,bandit10,3,1,5.3158,2
voc073t,2,bandit90,9,9,2.9959,0
voc073t,3,bandit70,6,7,3.8102,1
voc073t,4,bandit50b,7,5,3.3903,2
voc073t,5,bandit50a,4,5,2.4095,1
voc073t,6,bandit30,4,3,2.7055,1
voc074c,1,bandit90,9,9,3.5469,0
voc074c,2,bandit70,7,7,3.4643,0
voc074c,3,bandit50a,3,5,11.8019,2
voc074c,4,bandit30,3,3,2.5193,0
voc074c,5,bandit10,2,1,4.3837,1
voc074c,6,bandit50b,7,5,6.0029,2
voc075c,1,bandit10,4,1,5.9175,3
voc075c,2,bandit30,3,3,2.6094,0
voc075c,3,bandit70,8,7,2.7263,1
voc075c,4,bandit50a,8,5,1.781e-4,3
voc075c,5,bandit90,6,9,3.6742,3
voc075c,6,bandit50b,8,5,2.5076,3
voc076t,1,bandit10,6,1,7.0216,5
voc076t,2,bandit50a,2,5,2.7643,3
voc076t,3,bandit30,4,3,2.4404,1
voc076t,4,bandit90,3,9,2.2079,6
voc076t,5,bandit70,8,7,2.1174,1
voc076t,6,bandit50b,7,5,2.0559,2
voc077c,1,bandit10,9,1,10.9136,8
voc077c,2,bandit30,9,3,3.9393,6
voc077c,3,bandit50b,3,5,3.8657,2
voc077c,4,bandit90,6,9,2.8017,3
voc077c,5,bandit70,9,7,1.8936,2
voc077c,6,bandit50a,2,5,2.4227,3
voc078c,1,bandit30,6,3,8.5328,3
voc078c,2,bandit10,4,1,3.4561,3
voc078c,3,bandit90,9,9,2.65,0
voc078c,4,bandit50a,8,5,3.5394,3
voc078c,5,bandit50b,5,5,2.9614,0
voc078c,6,bandit70,9,7,3.0391,2
voc079c,1,bandit10,3,1,5.1647,2
voc079c,2,bandit50b,4,5,3.2736,1
voc079c,3,bandit30,6,3,3.5467,3
voc079c,4,bandit70,8,7,2.2008,1
voc079c,5,bandit90,7,9,2.1893,2
voc079c,6,bandit50a,4,5,1.8739,1
voc080t,1,bandit10,2,1,6.5124,1
voc080t,2,bandit90,8,9,3.7731,1
voc080t,3,bandit70,7,7,4.4679,0
voc080t,4,bandit50a,5,5,3.3144,0
voc080t,5,bandit50b,5,5,0.65015,0
voc080t,6,bandit30,3,3,5.1946,0
voc083c,1,bandit10,1,1,4.9907,0
voc083c,2,bandit30,4,3,4.6738,1
voc083c,3,bandit90,9,9,2.489,0
voc083c,4,bandit50b,5,5,6.1768,0
voc083c,5,bandit70,5,7,0.98751,2
voc083c,6,bandit50a,5,5,0.57803,0
voc084c,1,bandit30,4,3,26.1727,1
voc084c,2,bandit50a,4,5,7.9316e-4,1
voc084c,3,bandit10,1,1,12.5508,0
voc084c,4,bandit90,9,9,2.2553,0
voc084c,5,bandit50b,6,5,103.1605,1
voc084c,6,bandit70,7,7,10.4248,0
voc085c,1,bandit50a,4,5,21.2389,1
voc085c,2,bandit30,5,3,3.9189,2
voc085c,3,bandit90,9,9,1.864,0
voc085c,4,bandit50b,5,5,3.9133,0
voc085c,5,bandit10,2,1,3.0576,1
voc085c,6,bandit70,5,7,4.0076,2
voc086t,1,bandit50a,5,5,22.0518,0
voc086t,2,bandit70,7,7,7.2084,0
voc086t,3,bandit10,1,1,3.0262,0
voc086t,4,bandit30,2,3,16.3561,1
voc086t,5,bandit90,9,9,1.9291,0
voc086t,6,bandit50b,4,5,3.4891,1
voc087c,1,bandit10,3,1,4.99,2
voc087c,2,bandit90,8,9,2.9769,1
voc087c,3,bandit70,7,7,2.3351,0
voc087c,4,bandit30,3,3,4.8055,0
voc087c,5,bandit50a,3,5,1.7122,2
voc087c,6,bandit50b,6,5,2.2649,1
voc088t,1,bandit90,3,9,3.989,6
voc088t,2,bandit70,8,7,2.2643,1
voc088t,3,bandit30,6,3,2.8266,3
voc088t,4,bandit50a,8,5,2.3092,3
voc088t,5,bandit50b,8,5,1.4863,3
voc088t,6,bandit10,6,1,2.6707,5
voc089t,1,bandit70,3,7,7.9166,4
voc089t,2,bandit10,2,1,4.3055,1
voc089t,3,bandit30,4,3,2.0475,1
voc089t,4,bandit50b,7,5,6.411,2
voc089t,5,bandit50a,6,5,1.151,1
voc089t,6,bandit90,9,9,1.8203,0
voc090t,1,bandit90,8,9,2.7183,1
voc090t,2,bandit10,2,1,2.2844,1
voc090t,3,bandit50b,5,5,3.9334,0
voc090t,4,bandit70,7,7,3.6667,0
voc090t,5,bandit50a,5,5,1.619,0
voc090t,6,bandit30,6,3,1.711,3
voc091t,1,bandit10,5,1,10.0737,4
voc091t,2,bandit90,4,9,3.5278,5
voc091t,3,bandit50a,7,5,2.4738,2
voc091t,4,bandit70,3,7,2.5421,4
voc091t,5,bandit30,8,3,3.0645,5
voc091t,6,bandit50b,9,5,3.2837,4
voc092c,1,bandit70,2,7,11.3095,5
voc092c,2,bandit90,8,9,1.6648,1
voc092c,3,bandit50a,2,5,1.7608,3
voc092c,4,bandit30,2,3,5.9769,1
voc092c,5,bandit10,6,1,2.2914,5
voc092c,6,bandit50b,3,5,4.0443,2
voc093t,1,bandit90,8,9,4.6569,1
voc093t,2,bandit70,4,7,2.6977,3
voc093t,3,bandit10,2,1,2.6742,1
voc093t,4,bandit30,6,3,5.0434,3
voc093t,5,bandit50b,7,5,4.5474,2
voc093t,6,bandit50a,3,5,0.53732,2
voc094t,1,bandit50a,4,5,24.3005,1
voc094t,2,bandit50b,4,5,4.2941,1
voc094t,3,bandit70,6,7,10.0058,1
voc094t,4,bandit90,8,9,11.6366,1
voc094t,5,bandit30,2,3,12.0723,1
voc094t,6,bandit10,1,1,3.5554,0
voc095c,1,bandit50b,7,5,7.6752,2
voc095c,2,bandit30,4,3,3.9918,1
voc095c,3,bandit50a,3,5,2.8115,2
voc095c,4,bandit10,1,1,2.1681,0
voc095c,5,bandit90,9,9,1.3884,0
voc095c,6,bandit70,6,7,4.8193,1
voc096c,1,bandit50a,2,5,4.8429,3
voc096c,2,bandit30,3,3,1.5158,0
voc096c,3,bandit10,3,1,1.1149,2
voc096c,4,bandit90,9,9,3.3555,0
voc096c,5,bandit50b,3,5,4.2252,2
voc096c,6,bandit70,8,7,2.5474,1
voc097t,1,bandit70,6,7,3.082,1
voc097t,2,bandit90,9,9,2.0019,0
voc097t,3,bandit50a,8,5,1.7184,3
voc097t,4,bandit50b,9,5,1.55,4
voc097t,5,bandit30,7,3,1.7572,4
voc097t,6,bandit10,7,1,1.6672,6
voc098t,1,bandit30,6,3,11.4035,3
voc098t,2,bandit50a,7,5,3.7703,2
voc098t,3,bandit90,9,9,1.527,0
voc098t,4,bandit70,8,7,2.1513,1
voc098t,5,bandit10,1,1,3.5012,0
voc098t,6,bandit50b,3,5,2.4129,2
voc099t,1,bandit50a,3,5,5.5827,2
voc099t,2,bandit30,5,3,3.8731,2
voc099t,3,bandit90,9,9,2.1856,0
voc099t,4,bandit70,8,7,1.0064,1
voc099t,5,bandit50b,6,5,3.5317,1
voc099t,6,bandit10,5,1,1.1536,4
voc100t,1,bandit50a,6,5,18.5289,1
voc100t,2,bandit90,9,9,2.2693,0
voc100t,3,bandit70,8,7,1.0873,1
voc100t,4,bandit30,6,3,6.2963,3
voc100t,5,bandit10,2,1,6.5425,1
voc100t,6,bandit50b,5,5,2.3221,0
voc102t,1,bandit50b,3,5,3.6488,2
voc102t,2,bandit70,8,7,2.2825,1
voc102t,3,bandit30,2,3,3.5308,1
voc102t,4,bandit10,2,1,2.1132,1
voc102t,5,bandit90,8,9,2.681,1
voc102t,6,bandit50a,6,5,1.8182,1
voc103t,1,bandit50b,4,5,6.4264,1
voc103t,2,bandit10,5,1,2.8767,4
voc103t,3,bandit30,5,3,2.9733,2
voc103t,4,bandit70,9,7,2.3543,2
voc103t,5,bandit90,6,9,1.6808,3
voc103t,6,bandit50a,5,5,1.6423,0
voc106t,1,bandit10,1,1,4.4163,0
voc106t,2,bandit50b,5,5,2.1538,0
voc106t,3,bandit50a,5,5,1.7761,0
voc106t,4,bandit30,3,3,2.5427,0
voc106t,5,bandit90,9,9,1.821,0
voc106t,6,bandit70,7,7,2.3451,0
voc107t,1,bandit50b,6,5,12.1326,1
voc107t,2,bandit50a,4,5,4.2577,1
voc107t,3,bandit10,3,1,1.5425,2
voc107t,4,bandit30,3,3,5.2252,0
voc107t,5,bandit90,9,9,4.9968,0
voc107t,6,bandit70,7,7,4.035,0
voc110t,1,bandit90,7,9,3.1133,2
voc110t,2,bandit50a,4,5,1.0765,1
voc110t,3,bandit70,6,7,0.55956,1
voc110t,4,bandit10,3,1,0.55984,2
voc110t,5,bandit50b,6,5,0.71185,1
voc110t,6,bandit30,7,3,0.68129,4
voc111t,1,bandit10,2,1,4.9447,1
voc111t,2,bandit70,6,7,5.5963,1
voc111t,3,bandit90,9,9,3.7194,0
voc111t,4,bandit50a,7,5,2.0932,2
voc111t,5,bandit30,4,3,2.0211,1
voc111t,6,bandit50b,4,5,2.1184,1
voc112c,1,bandit70,7,7,4.3101,0
voc112c,2,bandit50b,6,5,2.1383,1
voc112c,3,bandit90,6,9,1.3869,3
voc112c,4,bandit50a,3,5,1.7547,2
voc112c,5,bandit30,1,3,1.5798,2
voc112c,6,bandit10,3,1,1.5224,2
voc113c,1,bandit50b,4,5,2.2898,1
voc113c,2,bandit10,4,1,3.2453e-4,3
voc113c,3,bandit50a,1,5,0.84179,4
voc113c,4,bandit70,7,7,1.686,0
voc113c,5,bandit30,2,3,0.51285,1
voc113c,6,bandit90,8,9,0.41833,1
voc114t,1,bandit70,7,7,9.9436,0
voc114t,2,bandit90,8,9,4.3364,1
voc114t,3,bandit50a,7,5,3.2774,2
voc114t,4,bandit50b,3,5,4.3622,2
voc114t,5,bandit30,3,3,1.3784,0
voc114t,6,bandit10,3,1,0.82978,2
voc115t,1,bandit50b,6,5,7.5153,1
voc115t,2,bandit90,5,9,3.0236,4
voc115t,3,bandit30,7,3,3.2446,4
voc115t,4,bandit50a,7,5,1.0236,2
voc115t,5,bandit10,4,1,1.7589,3
voc115t,6,bandit70,8,7,3.111,1
voc116t,1,bandit50b,5,5,18.7976,0
voc116t,2,bandit90,6,9,1.85,3
voc116t,3,bandit70,5,7,4.3583,2
voc116t,4,bandit30,3,3,3.1755,0
