subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,twoAlphaValenced_oneBeta,twoAlphaValenced_twoBeta,fourAlpha_oneBeta,fourAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,twoAlphaValenced_oneBeta_agencyBonus,twoAlphaValenced_twoBeta_agencyBonus,fourAlpha_oneBeta_agencyBonus,fourAlpha_twoBeta_agencyBonus
11669,653.876361323682,655.694874913222,636.876677362945,634.978646122836,653.508709169047,613.736002740695,577.256772874765,579.255142429836,590.803896909881,592.231007012371,571.293281365506,572.655589239288,564.225897481002,547.409855934368,529.623035466809,530.879896931126
11671,814.044217181101,733.985387329843,816.044217104421,735.985386306539,799.830376146789,706.08238075569,803.830376431509,710.08238326898,295.453556134611,297.449190343917,297.453556286504,299.449190170291,267.440196193208,269.52125641125,271.440196011035,273.521256782755
11695,812.15642712514,813.230161420294,803.426842544344,795.424375321487,814.15719903386,811.696463352831,807.29072645709,799.827721378453,589.410501581143,587.990125145347,585.443240588897,585.500363631023,587.129429445505,587.376309930697,585.566651192935,587.135796031268
11701,653.345871920113,628.326747518865,628.857665437381,625.84799112249,652.047762260812,622.975435870098,551.510746419311,552.956838042386,565.988853498007,558.474509513101,563.355883634501,560.503764973656,564.867111654926,551.141125261882,500.754395702306,501.213012714128
11703,594.81338839165,592.673276902936,583.136456223417,584.908222252549,581.486023255458,573.492746199916,552.553773256576,554.511812236956,544.927588267533,544.336045512624,538.408884541003,537.604346587875,519.477579414919,521.302106015049,515.65862179405,517.296810189775
11709,646.203049425064,648.167559937066,620.610349072701,604.860015125036,643.015886303265,573.718700360145,493.024498038384,476.283221070933,445.18234519305,441.908934538577,447.046660318305,443.345196727868,356.894431129589,354.887570163963,345.873310860133,344.314232587587
11721,501.732854773429,503.654471154293,478.261419779952,480.174220474169,499.578232731422,500.305544573136,414.541281067101,406.163976342061,343.585712698611,336.68542870483,325.65722955133,322.034860589879,324.806462786164,321.834783366767,323.247622357329,325.245719480748
11724,578.676950349551,574.828861285864,576.589759632864,559.030201211261,578.704214197199,573.718074158294,483.337010121072,482.334111272817,391.651907802381,393.721076934951,366.089983292202,366.126241916166,390.262003409965,391.007172064211,358.57867283453,360.514955029125
11728,726.255718414635,728.158933880646,725.945802635027,726.877852744741,728.317713691135,723.273448857696,725.964688214498,714.625355957675,692.720363051753,694.723387687768,694.84879137896,696.852984452184,689.976545865698,687.631327353951,685.830036366915,678.746199433766
11738,548.409105993696,536.276733870197,550.145971387512,532.953669809446,550.345923367631,536.260961554151,537.913103690431,523.956578839654,396.248129554471,397.392293515507,395.6152134293,397.501321442085,390.115897056237,390.103819412493,394.224224731828,394.41063044458
11739,661.941354084114,634.202191472894,663.640739574662,632.48466079291,662.17694651206,636.100107167583,663.277622994778,629.440127760355,592.99348979603,594.993614833253,595.157042781876,597.158137350488,595.156768905793,597.157571646102,601.441101088315,602.955252904263
11740,866.287838812102,867.457732459346,867.142217557644,852.297320060073,868.363591208082,863.986677247437,872.322310124566,856.699274548352,514.445949889461,516.531081917306,516.491360642976,518.685145264202,514.027276109016,511.384612625455,516.492050643002,515.384107854812
11741,550.203123747033,542.585077167667,552.012194762222,542.789840138356,509.61979199069,510.443040534388,512.3223864047,510.680955228249,542.917980166626,542.001708849272,544.605886755146,542.571960741763,499.122785622941,500.499414609968,500.693258902936,500.312273902503
11743,659.547815549486,659.830709320914,657.010227641393,657.068095542974,661.42468876571,661.60244110196,657.05316856122,656.842052566446,642.778612498429,644.781742027304,643.233543561592,645.109166027098,643.711796092235,645.472964440355,643.266547005472,645.265191682767
11745,833.44063932268,683.226717307896,835.440529112946,684.263292663805,834.247362051762,652.395323870157,838.157504352379,653.328499928835,279.270321200839,279.531199249061,280.711990201058,280.611124070103,251.219399838595,249.30334840084,252.794752015787,250.404351318547
11747,855.909844108519,804.062883560967,842.757557162743,791.251482046443,850.214973377416,716.340676168045,769.969842059247,720.555583172968,393.971436880462,393.629925360997,377.675582146728,379.547888358472,304.298079578558,306.014007478816,308.503550084571,310.220936397122
11750,241.171426251677,243.171314594923,243.370632969985,245.370679481331,243.372142269262,240.016728772118,247.768868088252,241.09916261723,211.140985115709,213.140781539886,213.346969367408,215.34710932523,201.139927396059,201.846412355789,205.100994273839,197.817246939492
11752,780.735146105488,759.9722847309,766.847488768536,717.125494380084,757.850295204148,642.24858316781,711.798490011821,646.504463813978,362.719886207126,364.759268820555,320.900955922677,322.535238719243,249.378910033957,248.0635709756,253.487216372227,252.290198100353
11753,706.954001875214,708.804871790028,708.293859567838,710.283405741853,705.37578914768,707.186913943471,704.986369940384,704.467559977408,600.628160005884,601.24899284902,597.474979876458,599.237007258193,597.36036471575,598.80047648268,601.114019328576,601.574872169772
11757,393.368478915198,395.397258896572,395.495759691358,397.508480894387,395.494196568772,398.04489809163,397.996184294443,398.667014064387,355.849477102553,357.650002538717,354.441278140306,356.565842184626,356.779186095742,357.285643418332,355.187429907366,357.28018688809
11758,464.070010226751,459.976856436551,428.484707129321,423.83768408284,457.91644271026,456.23106715377,398.578197072456,364.405704365871,332.874390637625,335.256498119227,323.477849743328,323.635340354158,325.19150510983,318.662994282949,324.885562686752,321.276976225419
11759,593.778115263287,595.733683443825,566.058055258348,567.834312799723,595.775886191195,579.80667894251,492.060912353565,486.27978131844,426.775566302511,418.407915033385,419.733086699849,412.791443234857,373.409651410454,375.416432989017,373.583760587738,369.766995311302
11762,768.702254757642,748.124732205105,764.780341225124,750.186033770894,770.689493486844,744.152481590001,767.163044493921,740.84213122348,609.810161609311,606.926725264391,611.121567164442,609.032991392744,608.413160323204,602.359522743682,609.607689638709,600.104157520222
11763,506.511135007835,508.516878865308,482.024336991765,483.944650480386,507.841599062352,509.766288890662,452.393719614338,446.382918427375,432.966378420236,416.210414225825,420.307346552016,414.115375662158,402.865519419576,404.918961248487,397.952713110241,399.239201705406
11764,483.65273609694,484.668146384259,405.300159727218,405.954195254894,483.811583646356,468.758846933685,309.761917400389,264.944140272689,237.367718734621,241.415453508093,235.112294082686,241.865928266997,192.544386897479,198.661347512285,195.486173546562,200.411991447082
11766,639.997770809517,551.307000098773,623.720649998815,550.956602817518,614.73630396219,544.441953576742,565.782800514426,532.635266324958,155.697497469443,154.542487806961,154.324872682941,153.580271958501,146.22874035871,146.495818273116,143.946376586363,145.142437564244
11777,133.308692467766,135.308645568592,135.513261894858,137.513219434453,135.514607538613,137.514514835571,139.921421992814,141.921674201397,64.1249480703589,66.1259541346541,66.2984674925864,68.2984476949565,65.1494862668757,64.8659663010061,68.8815853029175,69.0971798752077
11778,629.52593021152,619.001768620282,616.677836342672,611.809164901146,631.521292197186,609.901041493946,617.226751172053,608.828721045767,624.109971162662,617.062736326033,602.607345107933,601.701547182447,619.984932425335,603.388976680874,603.98811203445,597.903337724882
11793,693.582847130186,689.953166125182,692.016467595479,691.302428977745,695.491146997929,691.808870273208,694.62517663786,694.500632203956,677.950295984786,677.659947206634,676.527156490331,677.972238920056,679.833754837171,679.473336083768,679.627963213339,680.627910343359
11802,610.423395289094,602.800242084898,606.586072141853,591.008222461074,602.255502052559,570.47780383094,503.453998407867,487.643638278259,470.234472459879,459.494426565564,467.016274990091,454.10752848109,434.520849939167,424.677774079543,432.010478641782,421.237399715228
11811,554.428128805144,480.718598480586,555.089681311806,478.994953047563,499.729302658904,443.421717141253,420.993889008751,405.986989220775,533.807949708107,468.308703186065,533.759108687669,465.438930286631,413.131867738815,398.526639380889,409.560567025651,393.800118171044
11813,545.622157733334,547.615476245178,547.498911052997,549.496479286237,538.126758103502,537.25570677291,472.548269970737,455.163301777302,468.154291528929,469.312899278977,467.010739099969,467.019199475902,453.683793574362,454.891361612042,439.416841947872,441.627561081426
11815,457.236983676222,444.342552100237,437.396646986726,415.434965132639,442.055898774077,371.86578081591,180.109980300398,183.237522193672,249.261770630897,233.372051214779,217.006801461707,203.303520499162,181.47062725548,179.916575315508,145.05970498424,148.398053112529
11816,642.52623768627,644.724649649388,644.680939375668,646.895075590037,644.654075858675,646.852489167707,648.739139768972,650.961060621087,642.097252093376,644.299793852207,644.247810149085,646.471121217493,644.214924714888,646.41809558844,648.301922402168,650.469971509223
11817,635.075617067016,624.391475221941,636.588217960006,616.884581489905,581.700209186763,524.691639018321,477.755955227917,477.605089056625,475.903137843985,476.376318228104,470.796225437804,471.075467656565,351.387188930601,353.493982689513,343.558518266741,343.292022996743
11823,573.466476743363,523.030673092875,544.737529517198,507.850888362051,538.03139301321,521.376219412009,496.082057803787,450.565019189335,339.958986887377,345.352609730166,334.678337835525,340.048703007973,319.529999601907,324.823823773509,318.244040343878,327.693392591045
11824,656.658311151733,553.51812625654,632.018952984846,555.141923521818,631.9611349557,510.93514440042,514.525441718079,509.472471080082,209.264677349073,186.079467555373,203.137688211747,187.507875838219,164.542921272521,142.534130003223,158.993245422056,140.218551178775
11832,757.631691518022,708.045406711498,758.188635961377,710.069778578247,759.195170437284,709.528286184176,756.099061149493,712.593236692991,474.122707378121,451.56384040466,474.971956714905,453.5841979646,476.083027186262,453.148851844186,476.04733559378,456.407740561875
11833,365.578714204464,367.578889294623,367.776502494475,353.222607138557,282.461669979418,284.561657014557,277.432376682072,277.54113794503,321.652471574219,284.491600557059,310.496898355928,283.178749211042,261.641313319696,261.833660823225,257.953528935837,252.457277699279
11837,729.445079597213,709.434340834358,726.80346325499,711.537770834435,731.420769923826,687.12187872285,711.84722363392,688.979022120874,593.156047230369,581.724979369135,588.578638648915,579.978381344028,548.341196265741,548.526929409564,548.206777462707,548.396136796949
11839,769.713021588444,659.90896367251,713.854973329983,653.184851329712,770.321893254954,640.855369893585,702.164969712884,630.121875939127,243.441335297,238.569427374538,235.310230633982,231.878505295518,225.12849389647,219.705466165175,211.690553676351,208.911123680386
11840,548.819270208051,509.202251687943,498.873556779907,482.997003640011,550.68908266756,509.339421660715,454.240775175078,454.788871814306,430.305429329497,418.107462898292,407.316753527873,400.904401334684,422.771159021866,405.217560120034,408.637387388558,403.448441322551
11841,792.721317916525,629.393165049321,793.332619474519,631.726737319003,792.95600215472,632.698123864226,794.568489068582,636.760836926896,207.241239200658,205.857572478786,209.235312669002,208.165333644147,208.756804746203,208.861456236912,212.839584348553,212.9389541019
11842,558.885757324256,501.672438318151,493.417316301575,474.894135979227,559.799873729948,500.408936458968,392.770708954183,392.928467219781,270.565069243623,270.196785581127,244.440431649233,246.192952521364,246.568083478284,245.19226354476,229.978394364812,227.353368536601
11884,560.995220825427,562.749359777481,554.634249360557,551.994666311204,551.201827678396,548.968719832372,535.055185990146,526.37611596686,495.745994559178,491.832943351296,494.08663925552,491.466722304463,474.586548962757,474.371338357278,478.119018859941,474.861753529762
11885,678.826142978488,679.684756251541,670.320967551776,670.440668576436,674.093678751239,594.512718487182,665.519125599802,589.819399544924,466.632358478821,468.552583177337,446.780262665265,435.470915375289,326.287783710822,326.71807798519,329.414534448045,328.76287671169
11895,710.002630671916,706.632753143592,711.400298854153,705.10407289018,703.766989970132,669.21010183015,683.786093410828,678.945855706608,572.801224008776,570.719256715694,573.19312783547,568.835820224615,549.209459199529,527.969386810269,547.139581213038,532.307303597001
